user_id,product_id,reorder_count,product_name
52,8048,1,Packaged Grape Tomatoes
52,40063,1,Gluten Free Chocolate Chip Cookies
52,42489,1,Organic Raw Walnut Banana Meals To-Go
52,43352,0,Raspberries
52,46516,1,Sesame Bagels
551,4799,0,Shredded Parmesan
551,6297,0,Cheese Puffs Original
551,9424,0,Organic Saltine Baked Cracker Classic Crackers
551,9766,0,Avocado Oil Himalayan Salt Chips
551,13740,0,Organic Summer Strawberry Bunny Fruit Snacks
551,26282,0,"Organic Snack Mix Bunnies Snack Mix, Organic"
551,37646,1,Organic Gala Apples
551,37733,0,Uncured Pepperoni Mini Pizza Bagels Frozen Snacks
551,43713,0,Organic Creamy Peanut Butter
551,47209,1,Organic Hass Avocado
729,4942,1,Vanilla Almond Breeze
729,27086,1,Half & Half
729,29447,1,"Milk, Organic, Vitamin D"
729,33232,1,Unsweetened Cashew Milk
729,47626,1,Large Lemon
729,48988,1,Unsweetened Premium Iced Tea
997,3397,0,Organic Lightly Salted Sea Salt Thin & Crispy Restaurant Style Tortilla Chips
997,3793,0,Honey Grahams Graham Style Crackers
997,6377,0,Raspberry Chocolate Chip Gelato
997,6669,1,Breakfast Scramble Wrap
997,9881,0,Vegan Aged White Cheddar Flavor Puffs
997,13198,1,85% Lean Ground Beef
997,14720,0,Gluten Free Mushroom Risotto Veggie Burgers
997,18441,0,Organic Ketchup
997,21850,0,Waffle Cut Sweet Potato Seasoned Fries
997,24852,1,Banana
997,28571,0,Pretzel Rods
997,33709,0,All Natural Medium Fire-Roasted Tomato & Jalapeno Salsa
997,45066,1,Honeycrisp Apple
1951,486,0,Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie
1951,2748,1,Organic Reduced Fat Omega-3 Milk
1951,5390,1,Boneless Beef Chuck Roast
1951,8575,1,Unprocessed American Singles Colby-Style Cheese
1951,12703,0,Organic Mung-Bean Sprouts
1951,13176,0,Bag of Organic Bananas
1951,19019,0,Uncured Slow Cooked Ham
1951,21903,0,Organic Baby Spinach
1951,23405,0,Pure Baking Soda
1951,25837,0,Mini Babybel Light Semisoft Edam Cheeses
1951,28476,0,Organic Small Curd Cottage Cheese
1951,30795,1,Sesame Seaweed Salad
1951,33825,0,Four Fruits Preserves
1951,41960,1,"Organic Daikon Root, Bunch"
1951,44560,0,Kids Organic Chocolate Chip ZBars
1951,44825,0,Brown Rice Crisps
1951,49075,0,Organic Brown Rice
2325,2745,1,Strawberry Explosion/Banana Split Smoothie
2325,31981,0,1% Low Fat Milk
2459,148,1,Nectarines
2459,5212,1,Watermelon Chunks
2459,13176,1,Bag of Organic Bananas
2459,16490,1,Old Fashioned Whole Wheat Bread
2459,16797,1,Strawberries
2459,25640,1,White Peach
2459,27966,1,Organic Raspberries
2459,31343,1,Shredded Mild Cheddar Cheese
2459,31915,0,Organic Red Delicious Apple
2459,35233,1,Peach
2459,45066,1,Honeycrisp Apple
2459,46969,1,Organic Bosc Pear
2921,8638,0,Vanilla Milk Chocolate Almond Ice Cream Bars
2921,18218,1,Garden Salad
2921,24852,1,Banana
2921,38340,0,Everyday Plates 8.5 in
3210,10498,0,Pancake & Baking Mix
3210,19887,1,Unsweetened Vanilla Almond Breeze
3210,33081,1,Chicken Apple Sausage
3252,43154,1,Sparkling Mineral Water
3273,2915,1,Cleansing Towelettes Night Calming Makeup Remover
3273,4605,1,Yellow Onions
3273,5097,1,Mexican Style Taco Shredded Cheese
3273,10749,1,Organic Red Bell Pepper
3273,15290,1,Orange Bell Pepper
3273,15664,1,Tomatoes Sauce
3273,16494,1,Double Zipper Gallon Freezer Bags
3273,19348,1,Fat Free Milk
3273,20919,1,Baby Spinach Salad
3273,22043,0,3D White Luxe Glamorous White Vibrant Mint Toothpaste
3273,26386,1,Protein Energy Bar Original Peanut Butter Fudge
3273,26412,1,Fresh Lean Ground Turkey
3273,28083,1,Healthy Multi Grain Bread
3273,30489,0,Original Hummus
3273,32511,1,Ground Coffee French Roast
3273,33493,0,Cotton Swabs
3273,34111,1,Mini Naan
3273,35609,0,Coconut Milk with Jasmine PetalsPurely Pampering Nourishing Body Wash
3273,36591,1,100% Whole Wheat Medium Soft Taco Flour Tortillas
3273,39408,1,Gala Apples
3273,40299,1,Soft Taco Flour Tortillas
3273,40834,1,Refried Beans with Zesty Salsa
3273,41709,1,All-Natural Chunky Salsa Medium
3273,45835,1,Ultra Strong Mega Bathroom Tissue Rolls
3273,46522,1,Spaghetti Pasta
3273,48226,1,Select-A-Size White Giant Roll Paper Towels
3273,49258,0,Soleil 3 Blade Women's Disposable Razors
3273,49319,1,Mozzarella String Cheese Made with 2% Reduced Fat Milk
3285,5856,0,Dish Soap Lime Zest
3285,18288,1,Sea Salt Potato Chips
3285,27344,1,Uncured Genoa Salami
3285,29589,1,Vanilla Chocolate Chip Ice Cream
3285,30382,0,Organic Flour Tortillas
3285,36165,0,Homemade Corn Chips
3285,38772,0,Provolone
3285,39094,0,Barbeque Potato Chips
3285,49235,0,Organic Half & Half
3500,16830,1,Le Gruyere Cheese
3500,24964,1,Organic Garlic
3500,26723,0,Comice Pear
3500,28309,1,Gourmet Pizza Three Cheese Gluten Free
3500,29328,0,Organic Sweet Mini Peppers
3500,32864,0,Organic Baby Rainbow Carrots
3500,39877,1,Organic Granny Smith Apple
3500,43987,1,Baguettes Gluten Free Fresh Rosemary
3505,5479,0,Italian Sparkling Mineral Water
3505,25138,1,Organic Plain Greek Whole Milk Yogurt
3505,27845,1,Organic Whole Milk
3505,43086,1,Super Greens Salad
3735,2014,0,Low Fat Kefir Cultured Milk Smoothie Lowfat Probiotic Blueberry
3735,4879,0,"Milk, Fat Free"
3735,24852,1,Banana
3735,27845,1,Organic Whole Milk
3735,32429,0,Red Mango
3735,41588,1,Firm Tofu
3735,48679,1,Organic Garnet Sweet Potato (Yam)
3923,115,1,Scooby-Doo! Fruit Flavored Snacks
3923,743,1,Pepperoni Party Pizza
3923,2456,1,Clump & Seal Multi-Cat Cat Litter
3923,3318,1,Cinnamon Swirl Raisin Bread
3923,5385,1,Country White Bread
3923,11158,1,Grands! with Cream Cheese Icing Cinnamon Rolls
3923,15322,1,Sriracha Chicken Big Burrito
3923,15344,1,Supreme Party Pizza
3923,19933,1,Crescent Butter Flake Dinner Rolls
3923,25830,1,Eggo Blueberry Waffles
3923,29471,1,Combination Pizza Rolls
3923,30639,1,Organic Orange Juice
3923,31587,1,Tomato Balsamic Vinegar Ketchup
3923,32099,1,Cilantro Lime Chicken Burrito
3923,34598,1,Brown'N Serve Sausage Links Maple 10 Ct
3923,34635,1,Shredded Beef Burrito
3923,37229,1,"Bathroom Tissue Softness & Strength, Double Rolls"
3923,37358,1,Frozen Limeade Concentrate
3923,43202,1,Honey BBQ Sauce Boneless Chicken Bites
3923,43886,1,Hot Dog Buns Enriched 8 Count
3923,47006,1,Steak Sauce
4044,10371,1,Wild Pink Salmon
4044,21903,1,Organic Baby Spinach
4103,18205,0,Peanut Butter Gluten Free Breakfast Bars
4103,18503,0,Light Cream
4103,18567,0,Low Fat No Chicken Noodle Soup
4103,23094,0,Organic Lentil Soup
4103,34524,0,Zinc Elderberry and Raspberry Lozenges
4103,34819,0,Liquid Vitamin C Orange Flavor
4103,39560,0,Go Lean Crunch! Honey Almond Flax Cereal
4103,39628,0,Mascarpone
4103,40614,0,Gypsy Cold Care Herbal Tea
4103,46713,0,Lady Fingers Biscotti
4170,1408,1,Mini Cucumbers
4170,4799,0,Shredded Parmesan
4170,9472,0,Organic Red Cherry Tomato
4170,18385,0,Gourmet Mochi Ice Cream Bonbons
4170,19970,0,Gourmet Mochi Ice Cream Vanilla Bonbons
4170,20542,0,Lime Ginger Lemon Agave
4170,21137,0,Organic Strawberries
4170,21405,0,"Organic Red Radish, Bunch"
4170,22548,0,Coldbrew Coffee Pops
4170,30720,0,Sugar Snap Peas
4170,35682,0,Biscoff Cookie
4170,40078,0,Strawberry Lemonade Frozen Pops
4170,41329,1,Carrot And Celery Sticks
4170,45066,1,Honeycrisp Apple
4557,10006,1,Low Sodium Refried Black Beans
4557,12480,0,Sliced Pancetta Americana
4557,16367,0,99% Aloe Vera Gelly
4557,18409,1,Outrageous B & B Pickles
4557,28545,1,Smoked Rainbow Trout
4557,31539,0,Organic Worcestershire
4557,46747,1,Dill & Sour Cream Plentils
4756,2838,0,Poppy Seed Dressing
4756,12315,1,Dairy Free Hazelnut Coconut Milk Creamer
4756,15655,0,Dark Chocolate Mint Snacking Chocolate
4756,21053,1,Almond Snack Crackers
4756,21137,1,Organic Strawberries
4756,30169,1,Total 2% All Natural Plain Greek Yogurt
4756,45123,0,Organic 21 Grain Thin Sliced Bread
4756,46979,1,Asparagus
4756,49374,0,Organic Cultured Cream Cheese Spread
4867,4478,0,Chocolate Fudge Brownie Frozen Yogurt
4867,14697,1,All Natural 100% Juice Apple
4867,19076,1,Rich & Hearty Chicken & Homestyle Noodles Soup
4867,24852,1,Banana
4867,25985,0,Chicken & Apple Smoked Chicken Sausage
4867,26709,0,Four Cheese Rising Crust Pizza
4867,30506,0,Hummus Roasted Pepper
4867,34640,1,Steamfresh Premium Selects Frozen Whole Green Beans
4867,43409,0,Frosted Mini-Wheats Original Cereal
4867,43715,0,40% Less Sodium Taco Seasoning Mix
4867,45681,0,Americone Dream® Ice Cream
4867,47234,0,Cucumber Dish Soap
4867,47284,0,Toll House Semi Sweet Chocolate Mini Morsels Chips
4867,49060,0,Soup & Oyster Crackers
5535,2078,1,Unsalted Pure Irish Butter
5535,8859,1,Natural Spring Water
5535,9839,1,Organic Broccoli
5535,10621,1,Organic Purple Kale
5535,18963,1,Apple Cider Vinegar
5535,19660,1,Spring Water
5535,22935,1,Organic Yellow Onion
5535,23147,1,Gut Shot Classic
5535,24964,1,Organic Garlic
5535,27521,1,Organic Lacinato (Dinosaur) Kale
5535,28601,1,Collard Greens
5535,34040,1,Organic Gut Shot Ginger Beet Probiotic Drink
5535,35535,1,Organic Red Chard Greens
5535,36389,1,Organic Rainbow Chard Vegetable
5535,38456,1,Large Grapefruit
5535,43484,1,Farmhouse Culture Classic Caraway Kraut
5535,47209,1,Organic Hass Avocado
5535,47734,1,Organic Green Cabbage
6293,432,1,Vanilla Almond Breeze Almond Milk
6293,27959,1,Premium Indian Tonic Water
6293,28985,0,Michigan Organic Kale
6293,30450,1,Creamy Almond Butter
6293,32566,0,Dha Omega 3 Vitamin D Milk
6293,35989,0,Coconut Flavored Sparkling Water
6293,47626,1,Large Lemon
6293,49235,1,Organic Half & Half
6342,17902,1,Liquid Egg Whites
6342,32689,0,Romaine Hearts
7156,9020,0,Boneless Skinless Chicken Thighs
7156,21137,0,Organic Strawberries
7156,31701,0,Potato Puffs with Roasted Garlic and Cracked Black Pepper
7156,36216,0,Lime Italian Sparkling Mineral Water
7156,40174,0,2% Reduced Fat Organic Milk
7156,43967,0,Raspberry Lemonade
7156,46584,0,YoKids Blueberry & Strawberry/Vanilla Yogurt
7224,1848,1,Rockin' Raspberry 3.1 Fl Oz
7224,4396,1,Oven Roasted Sea Salt Almonds
7224,5386,1,Strawberry
7224,7306,1,Oats & Peanut Butter Chewy Bars
7224,7702,1,Macaroni & Mild Cheddar Cheese
7224,7762,1,Vodka Pasta Sauce
7224,8590,1,Ground Turkey
7224,9028,1,Virginia Ham
7224,9076,1,Blueberries
7224,9623,1,Sparkling Natural Spring Water
7224,12782,1,Bun Length Beef Franks
7224,14161,1,Kiwi
7224,14168,1,Penne Pasta
7224,19348,1,Fat Free Milk
7224,19488,1,Select-A-Size White Paper Towels
7224,21980,1,Mini Ice Cream Sandwiches
7224,27240,1,Classic Lavender & Chamomile Liquid Hand Soap
7224,28449,1,"French Roast, Dark Roast K-Cups"
7224,30778,0,Ultra Original Scent Dishwashing Liquid 38 Fl Oz Dish Care
7224,34160,1,of Hanover 100 Calorie Pretzels Mini
7224,35633,1,Chocolate Peanut Butter
7224,37766,1,XL Emerald White Seedless Grapes
7224,38996,1,Grape Tomatoes
7224,40332,1,"Cage Free Brown Eggs-Large, Grade A"
7224,45656,1,Whole Grain Brown Rice
7713,2120,1,Sauvignon Blanc
7713,12013,1,Pinot Noir
7713,49544,1,Cabernet Sauvignon Wine
7848,11636,0,Premium Green Tea Bags
7848,27117,0,Refresh Herbal Tea
7848,27294,0,Wrigley's Orbit Wintermint Sugar Free Gum- 3 PK
7848,34355,0,Spearmint Sugar-Free Gum
7848,42611,1,Green Tea Green Ginger Tea Bags
7848,48946,0,Earl Grey Tea
8417,5467,1,Spinach & Cheese Enchilada Verde Meal
8417,5785,1,Organic Reduced Fat 2% Milk
8417,7054,1,Low Fat Plain Yogurt
8417,12341,1,Hass Avocados
8417,12381,1,Bowls Tortilla Casserole & Black Beans
8417,13166,1,"Organic Milk Reduced Fat, 2% Milkfat"
8417,13176,1,Bag of Organic Bananas
8417,17794,1,Carrots
8417,23417,0,Brown Rice & Vegetables Bowl
8417,26369,1,Organic Roma Tomato
8417,31461,0,Cheese Tamale Verde
8417,47734,1,Organic Green Cabbage
8498,9755,0,Original Popcorn
8498,13194,0,Chewy Granola Bars Variety Pack
8498,15902,0,100 Calorie  Per Bag Popcorn
8498,19734,0,Classic Mix Variety
8498,20118,0,Krinkle Cut Sea Salt Potato Chips
8498,24179,0,"Real Vegetable Chips, Sweets & Beets"
8498,34160,0,of Hanover 100 Calorie Pretzels Mini
8498,36316,0,Lemon Sparkling Water
8498,39408,0,Gala Apples
8498,39618,0,Simply 100 Peach Blended  Non-Fat Greek Yogurt
8498,44085,0,Vanilla Light & Fit Greek Yogurt
8498,44156,0,Strawberry on the Bottom Nonfat Greek Yogurt
8498,47866,0,Jalapeno Potato Chips
8498,47977,0,Grapefruit Sparkling Water
8500,1463,1,Organic Milk
8500,4957,1,Total 2% Lowfat Greek Strained Yogurt With Blueberry
8500,5077,1,100% Whole Wheat Bread
8500,10106,1,Honey & Maple Turkey Breast
8500,11941,1,"Tortillas, Corn, Organic"
8500,24852,1,Banana
8500,33370,1,Total with Strawberry Yogurt
8500,33787,1,Total 2% Lowfat Greek Strained Yogurt with Peach
8500,36305,1,The Great Organic Uncured Chicken Hot Dogs
8500,37646,1,Organic Gala Apples
8500,46346,0,Sweet Potato Fries with Sea Salt
8537,9387,0,Granny Smith Apples
8537,21616,1,Organic Baby Arugula
8537,28985,0,Michigan Organic Kale
8537,34466,1,Sweet Potatoes
8537,35973,0,Paprika
8537,39558,1,Gold Potato
8537,47626,1,Large Lemon
8710,32521,0,Honey Mustard and Onion Seasoned Sourdough Nibblers
8710,39719,0,"Freshly Made. Filled with Creamy Ricotta, Aged Parmesan and Romano Cheeses Three Cheese Tortellini"
8742,21077,0,Cara Cara Navel Orange
8742,27845,1,Organic Whole Milk
8745,5744,1,Unsalted Chicken Stock
8745,7631,0,Broccoli Bunch
8745,18599,1,Garlic Couscous
