order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,cumulative_days,order_date
1725437,89960,prior,5,0,14,14.0,56.0,2014-09-11
1122088,157793,prior,6,3,8,4.0,13.0,2014-12-18
352443,118560,prior,1,5,11,,0.0,2015-04-26
2225015,182324,prior,16,6,13,6.0,109.0,2015-04-09
1083635,87386,prior,10,1,10,4.0,49.0,2014-10-01
3302561,143155,prior,14,2,15,18.0,209.0,2015-04-21
2133837,181548,prior,38,5,10,6.0,267.0,2015-04-12
3290937,203556,prior,5,1,20,8.0,49.0,2015-03-10
1022897,119290,prior,14,2,14,2.0,119.0,2014-10-31
228411,143986,prior,49,1,8,5.0,176.0,2014-12-26
2856687,47611,prior,8,0,11,20.0,106.0,2015-01-26
302743,123366,prior,47,2,15,8.0,223.0,2015-05-19
3416719,5751,train,17,4,7,4.0,169.0,2015-07-01
1078578,64761,prior,10,1,9,3.0,88.0,2014-10-13
2873858,34067,prior,5,3,14,12.0,25.0,2014-09-04
1187860,136418,prior,2,2,10,24.0,24.0,2015-04-29
1602121,104348,prior,15,3,21,30.0,268.0,2015-06-08
2173638,201853,prior,16,4,14,2.0,69.0,2015-06-09
32608,66630,prior,2,1,9,30.0,30.0,2014-08-27
1365016,114493,prior,4,3,13,8.0,37.0,2014-09-27
3060597,193309,prior,16,1,10,4.0,81.0,2015-02-25
2111255,136787,prior,2,5,17,3.0,3.0,2014-10-21
870463,37032,test,42,2,10,7.0,359.0,2015-07-01
2290481,118072,prior,3,0,16,12.0,19.0,2015-02-09
2961704,66550,prior,37,0,7,9.0,207.0,2015-02-03
1388197,130359,prior,31,2,14,5.0,284.0,2015-04-13
1772802,159620,prior,4,5,13,1.0,16.0,2014-09-04
1541078,162337,prior,67,5,9,2.0,200.0,2015-05-03
1739407,24827,prior,57,3,18,3.0,250.0,2015-03-09
3338569,47295,prior,9,0,16,7.0,74.0,2014-12-14
2085928,38691,prior,10,5,7,4.0,143.0,2015-04-16
3269884,96055,prior,37,1,11,7.0,356.0,2015-06-24
1234521,112866,prior,1,1,12,,0.0,2015-06-11
3316088,14850,prior,9,4,16,8.0,68.0,2015-03-27
414129,3923,prior,9,6,19,0.0,113.0,2015-03-03
3391101,15000,prior,9,2,15,1.0,89.0,2014-10-20
1593172,84203,prior,9,0,13,30.0,151.0,2015-06-22
2837977,159585,prior,36,3,21,6.0,243.0,2015-04-26
86849,162135,prior,39,3,11,3.0,231.0,2015-04-27
792476,185501,prior,20,3,12,5.0,175.0,2014-12-24
2194516,7224,prior,16,6,9,7.0,147.0,2015-05-23
272157,205446,prior,3,0,10,18.0,35.0,2015-03-26
2920004,41423,prior,2,2,17,12.0,12.0,2015-04-02
1806968,102990,prior,1,4,20,,0.0,2015-05-27
1752418,112013,prior,7,0,7,5.0,67.0,2014-11-17
1237452,26520,prior,2,4,16,6.0,6.0,2015-03-21
2260396,168788,test,6,0,15,30.0,139.0,2015-07-01
1474644,151591,prior,4,0,14,5.0,16.0,2015-03-28
1529257,39162,train,13,3,9,7.0,113.0,2015-07-01
96619,164589,prior,45,0,14,7.0,322.0,2015-05-21
2737317,77906,prior,15,5,17,14.0,164.0,2015-03-08
107884,202824,prior,13,4,9,3.0,86.0,2014-12-07
2990815,162863,prior,28,6,10,6.0,205.0,2015-03-31
1286768,123301,prior,2,4,9,13.0,13.0,2015-01-27
389842,196732,prior,3,2,19,3.0,6.0,2015-01-03
864841,98909,prior,10,1,13,6.0,87.0,2014-11-23
1347307,64862,prior,9,5,15,4.0,64.0,2015-04-26
3214338,70505,prior,2,1,9,7.0,7.0,2014-10-15
3027599,49309,prior,13,1,19,3.0,187.0,2015-06-12
2167593,77965,prior,6,0,13,6.0,35.0,2014-11-17
1902528,134135,prior,4,3,16,30.0,90.0,2015-06-01
3100296,135450,prior,5,5,11,26.0,62.0,2014-10-08
1780772,202500,prior,16,1,15,1.0,150.0,2015-01-07
3360812,10438,prior,25,6,12,6.0,221.0,2015-06-17
163450,115308,prior,19,1,12,13.0,252.0,2015-05-27
192409,162225,prior,22,0,7,7.0,183.0,2015-01-19
1149784,205068,prior,27,0,8,4.0,168.0,2014-12-19
1735756,111212,prior,62,4,22,6.0,292.0,2015-05-10
3093386,109262,prior,18,1,18,7.0,194.0,2015-06-12
2620087,58441,prior,23,2,7,9.0,224.0,2015-02-22
2931008,170588,prior,15,4,15,2.0,96.0,2014-10-07
