aisle_id,aisle
78,crackers
93,breakfast bakery
99,canned fruit applesauce
15,packaged seafood
6,other
26,coffee
79,frozen pizza
112,bread
23,popcorn jerky
88,spreads
102,baby bath body care
2,specialty cheeses
45,candy chocolate
42,frozen vegan vegetarian
103,ice cream toppings
127,body lotions soap
20,oral hygiene
9,pasta sauce
129,frozen appetizers sides
27,beers coolers
60,trash bags liners
48,breakfast bars pastries
89,salad dressing toppings
84,milk
46,mint gum
65,protein meal replacements
18,bulk dried fruits vegetables
75,laundry
111,plates bowls cups flatware
87,more household
19,oils vinegars
50,fruit vegetable snacks
71,refrigerated pudding desserts
110,pickled goods olives
82,baby accessories
77,soft drinks
134,specialty wines champagnes
74,dish detergents
122,meat counter
106,hot dogs bacon sausage
29,honeys syrups nectars
24,fresh fruits
126,feminine care
36,butter
51,preserved dips spreads
70,digestion
43,buns rolls
32,packaged produce
121,cereal
62,white wines
12,fresh pasta
11,cold flu allergy
34,frozen meat seafood
22,hair care
8,bakery desserts
64,energy sports drinks
4,instant foods
90,cocoa drink mixes
33,kosher foods
128,tortillas flat bread
94,tea
25,soap
80,deodorants
16,fresh herbs
83,fresh vegetables
30,latino foods
57,granola
120,yogurt
117,nuts seeds dried fruit
69,soup broth bouillon
96,lunch meat
54,paper goods
107,chips pretzels
35,poultry counter
21,packaged cheese
17,baking ingredients
67,fresh dips tapenades
63,grains rice dried goods
100,missing
66,asian foods
55,shave needs
133,muscles joints pain relief
53,cream
52,frozen breakfast
41,cat food care
13,prepared meals
125,trail mix snack mix
49,packaged poultry
1,prepared soups salads
59,canned meals beans
68,bulk grains rice dried goods
108,other creams cheeses
116,frozen produce
123,packaged vegetables fruits
39,seafood counter
47,vitamins supplements
98,juice nectars
124,spirits
114,cleaning products
56,diapers wipes
130,hot cereal pancake mixes
105,doughs gelatins bake mixes
61,cookies cakes
28,red wines
91,soy lactosefree
58,frozen breads doughs
73,facial care
76,indian foods
132,beauty
81,canned jarred vegetables
109,skin care
3,energy granola bars
115,water seltzer sparkling water
92,baby food formula
118,first aid
86,eggs
40,dog food care
113,frozen juice
95,canned meat seafood
10,kitchen supplies
37,ice cream ice
38,frozen meals
72,condiments
44,eye ear care
85,food storage
104,spices seasonings
7,packaged meat
5,marinades meat preparation
101,air fresheners candles
119,frozen dessert
14,tofu meat alternatives
131,dry pasta
97,baking supplies decor
31,refrigerated
