order_id,user_id,order_number,product_id,add_to_cart_order,reordered,cumulative_reorder_per_customer
2127348,52,26,42489,1,1,1
2127348,52,26,43352,2,0,1
2127348,52,26,40063,3,1,2
2127348,52,26,8048,4,1,3
2127348,52,26,46516,5,1,4
1896455,551,9,13740,1,0,0
1896455,551,9,26282,2,0,0
1896455,551,9,9424,3,0,0
1896455,551,9,37733,4,0,0
1896455,551,9,47209,5,1,1
1896455,551,9,9766,6,0,1
1896455,551,9,43713,7,0,1
1896455,551,9,6297,8,0,1
1896455,551,9,4799,9,0,1
1896455,551,9,37646,10,1,2
2693027,729,21,29447,1,1,1
2693027,729,21,27086,2,1,2
2693027,729,21,4942,3,1,3
2693027,729,21,33232,4,1,4
2693027,729,21,48988,5,1,5
2693027,729,21,47626,6,1,6
1733246,997,4,24852,1,1,1
1733246,997,4,45066,2,1,2
1733246,997,4,33709,3,0,2
1733246,997,4,18441,4,0,2
1733246,997,4,21850,5,0,2
1733246,997,4,6377,6,0,2
1733246,997,4,14720,7,0,2
1733246,997,4,9881,8,0,2
1733246,997,4,3397,9,0,2
1733246,997,4,3793,10,0,2
1733246,997,4,28571,11,0,2
1733246,997,4,13198,12,1,3
1733246,997,4,6669,13,1,4
3003426,1951,12,44560,1,0,0
3003426,1951,12,486,2,0,0
3003426,1951,12,30795,3,1,1
3003426,1951,12,2748,4,1,2
3003426,1951,12,5390,5,1,3
3003426,1951,12,19019,6,0,3
3003426,1951,12,33825,7,0,3
3003426,1951,12,23405,8,0,3
3003426,1951,12,49075,9,0,3
3003426,1951,12,44825,10,0,3
3003426,1951,12,13176,11,0,3
3003426,1951,12,28476,12,0,3
3003426,1951,12,21903,13,0,3
3003426,1951,12,25837,14,0,3
3003426,1951,12,8575,15,1,4
3003426,1951,12,12703,16,0,4
3003426,1951,12,41960,17,1,5
138957,2325,3,31981,1,0,0
138957,2325,3,2745,2,1,1
2135166,2459,15,25640,1,1,1
2135166,2459,15,13176,2,1,2
2135166,2459,15,16490,3,1,3
2135166,2459,15,27966,4,1,4
2135166,2459,15,16797,5,1,5
2135166,2459,15,5212,6,1,6
2135166,2459,15,35233,7,1,7
2135166,2459,15,148,8,1,8
2135166,2459,15,45066,9,1,9
2135166,2459,15,46969,10,1,10
2135166,2459,15,31343,11,1,11
2135166,2459,15,31915,12,0,11
2927938,2921,4,8638,1,0,0
2927938,2921,4,24852,2,1,1
2927938,2921,4,38340,3,0,1
2927938,2921,4,18218,4,1,2
1861423,3210,32,33081,1,1,1
1861423,3210,32,19887,2,1,2
1861423,3210,32,10498,3,0,2
81253,3252,7,43154,1,1,1
827496,3273,33,26386,1,1,1
827496,3273,33,19348,2,1,2
827496,3273,33,32511,3,1,3
827496,3273,33,28083,4,1,4
827496,3273,33,49319,5,1,5
827496,3273,33,20919,6,1,6
827496,3273,33,48226,7,1,7
827496,3273,33,45835,8,1,8
827496,3273,33,15290,9,1,9
827496,3273,33,40299,10,1,10
827496,3273,33,36591,11,1,11
827496,3273,33,40834,12,1,12
827496,3273,33,4605,13,1,13
827496,3273,33,2915,14,1,14
827496,3273,33,41709,15,1,15
827496,3273,33,26412,16,1,16
827496,3273,33,16494,17,1,17
827496,3273,33,5097,18,1,18
827496,3273,33,15664,19,1,19
827496,3273,33,46522,20,1,20
827496,3273,33,35609,21,0,20
827496,3273,33,49258,22,0,20
827496,3273,33,22043,23,0,20
827496,3273,33,33493,24,0,20
827496,3273,33,39408,25,1,21
827496,3273,33,30489,26,0,21
827496,3273,33,10749,27,1,22
827496,3273,33,34111,28,1,23
384823,3285,5,27344,1,1,1
384823,3285,5,36165,2,0,1
384823,3285,5,29589,3,1,2
384823,3285,5,30382,4,0,2
384823,3285,5,39094,5,0,2
384823,3285,5,18288,6,1,3
384823,3285,5,49235,7,0,3
384823,3285,5,38772,8,0,3
384823,3285,5,5856,9,0,3
1362594,3500,26,32864,1,0,0
1362594,3500,26,29328,2,0,0
1362594,3500,26,16830,3,1,1
1362594,3500,26,39877,4,1,2
1362594,3500,26,28309,5,1,3
1362594,3500,26,43987,6,1,4
1362594,3500,26,26723,7,0,4
1362594,3500,26,24964,8,1,5
791430,3505,11,43086,1,1,1
791430,3505,11,25138,2,1,2
791430,3505,11,27845,3,1,3
791430,3505,11,5479,4,0,3
1640576,3735,2,48679,1,1,1
1640576,3735,2,24852,2,1,2
1640576,3735,2,27845,3,1,3
1640576,3735,2,4879,4,0,3
1640576,3735,2,2014,5,0,3
1640576,3735,2,32429,6,0,3
1640576,3735,2,41588,7,1,4
414129,3923,9,3318,1,1,1
414129,3923,9,43202,2,1,2
414129,3923,9,30639,3,1,3
414129,3923,9,37358,4,1,4
414129,3923,9,2456,5,1,5
414129,3923,9,5385,6,1,6
414129,3923,9,31587,7,1,7
414129,3923,9,47006,8,1,8
414129,3923,9,34635,9,1,9
414129,3923,9,32099,10,1,10
414129,3923,9,15322,11,1,11
414129,3923,9,29471,12,1,12
414129,3923,9,15344,13,1,13
414129,3923,9,743,14,1,14
414129,3923,9,25830,15,1,15
414129,3923,9,37229,16,1,16
414129,3923,9,19933,17,1,17
414129,3923,9,34598,18,1,18
414129,3923,9,11158,19,1,19
414129,3923,9,43886,20,1,20
414129,3923,9,115,21,1,21
316452,4044,18,10371,1,1,1
316452,4044,18,21903,2,1,2
2507340,4103,4,39560,1,0,0
2507340,4103,4,18205,2,0,0
2507340,4103,4,39628,3,0,0
2507340,4103,4,18503,4,0,0
2507340,4103,4,46713,5,0,0
2507340,4103,4,23094,6,0,0
2507340,4103,4,18567,7,0,0
