order_id,product_id,add_to_cart_order,reordered
1119047,41787,18,0
2317628,329,6,1
1494788,45070,7,0
808306,20114,5,1
2711168,30353,4,1
3149221,4277,35,0
3080519,47209,12,1
1393284,32478,3,1
328016,16953,10,0
2571841,41220,4,1
3262873,30489,2,1
2442210,27845,2,1
3034521,48628,6,1
321836,10915,3,1
114785,4138,4,1
3166364,28785,10,0
3390112,6448,14,0
1500127,14947,1,1
2103723,47766,4,1
444066,19003,14,1
2139141,34126,5,1
348693,8424,10,1
3310288,38817,10,1
548134,34969,3,0
2686827,28715,5,0
2016346,21137,2,0
1426510,46720,9,0
2050674,1757,42,0
3283292,28842,3,1
2611438,44204,6,0
3215733,41950,21,0
3159959,12129,4,1
352984,9839,4,1
2196428,37130,2,1
1730032,43154,1,1
410577,8012,6,0
1059238,3896,1,1
350925,8021,6,1
1566050,4410,16,1
441352,15902,4,1
2496478,25890,8,1
989290,40120,3,1
846813,30247,6,0
3064886,30697,5,0
751536,47626,2,1
172628,8424,3,1
885555,38777,2,1
1347862,4421,4,0
2264289,34525,5,1
907746,34358,3,1
1962695,2295,2,1
3126525,30489,25,1
1246064,28553,6,0
831144,6873,7,0
924630,27845,1,1
1037348,24527,19,1
518318,5782,6,0
2264278,24343,26,0
736188,47601,13,0
1712113,4605,36,0
1076565,16464,3,1
3392957,25466,2,1
130650,16048,6,0
3374510,2855,6,1
765816,48333,2,1
2997213,8174,25,1
741626,25986,7,0
1458757,10749,3,1
2945529,16823,16,1
101620,30252,16,1
1184662,14715,11,0
937119,49,35,1
29350,26283,8,1
2328937,1158,1,0
2751529,30135,16,0
630062,20682,4,1
3397972,47141,1,0
3022458,14678,14,1
2620644,47546,1,1
3328913,41290,3,0
2749452,23594,7,0
265632,21737,3,1
2333659,4605,26,1
343048,19508,22,0
769397,42240,12,0
2795453,13829,3,1
2162720,21392,8,1
2084365,16797,3,1
3077613,30910,26,1
1039602,8021,11,0
115368,45053,16,1
910305,9864,4,1
139377,22255,14,1
22045,14429,18,1
3369499,13147,27,0
2006515,45926,3,0
2513073,7567,7,1
2477854,27012,2,0
2569686,10749,11,1
2503421,31433,10,1
3120825,46049,4,1
824204,27966,4,1
1378172,43122,10,1
2519572,33232,8,1
417562,32115,11,0
1722368,42828,10,0
76714,37374,6,1
2436422,7751,11,0
452288,10032,2,0
3272123,41950,10,1
1326011,7969,10,1
2145807,2983,16,1
3396528,8927,1,0
1349109,38293,15,1
713906,40174,4,0
785565,47888,1,1
1645279,11918,9,0
2330171,19660,4,1
1825223,4086,4,0
2993892,10580,7,0
1549257,42244,14,1
39243,31717,23,0
2595457,35221,9,0
966699,35968,2,1
130763,20114,5,1
823139,43545,6,1
1995737,11481,8,1
1468779,4724,1,0
1130274,43961,10,1
