order_id,product_id,add_to_cart_order,reordered
322,13819,1,1
322,432,2,1
322,19311,3,1
322,36646,4,0
322,28842,5,1
322,41259,6,0
322,4605,7,0
322,46526,8,0
322,37011,9,0
5402,5250,1,1
5402,45045,2,1
5402,41787,3,1
5402,22035,4,1
5402,44560,5,1
5402,35221,6,1
5402,36216,7,1
5402,26790,8,1
5402,42803,9,0
5402,27156,10,1
5402,13740,11,1
5402,5194,12,1
5402,45767,13,1
5402,32293,14,0
5402,32360,15,1
5402,41665,16,1
5402,12597,17,1
5402,24841,18,1
5402,13829,19,1
5402,27544,20,0
5402,43352,21,0
5402,28862,22,0
5402,8012,23,0
5402,47900,24,0
5599,37869,1,0
5599,21616,2,0
5599,40516,3,0
5599,12980,4,0
5599,7419,5,0
5599,1408,6,0
5599,14992,7,0
5599,23341,8,0
5599,15602,9,0
5599,8424,10,0
5599,18596,11,0
5599,38635,12,0
6591,17872,1,0
6591,16083,2,1
6591,36117,3,1
6591,40706,4,1
6591,18523,5,1
6591,30391,6,1
6591,21903,7,1
6591,5514,8,1
6761,8016,1,0
6761,21884,2,0
6761,7736,3,0
6761,30352,4,0
6761,22474,5,0
6761,31577,6,0
6761,12916,7,0
6761,30095,8,0
6761,33655,9,0
6761,29941,10,0
6761,16797,11,0
11388,42811,1,0
11388,49235,2,0
11388,33195,3,0
11388,12817,4,0
11388,2078,5,0
11388,17200,6,0
11388,9551,7,0
16202,2966,1,1
16202,43122,2,1
16202,46676,3,1
16202,31553,4,1
16202,47766,5,1
16202,38662,6,1
16202,18465,7,1
16202,8277,8,1
16202,49683,9,1
16202,1194,10,1
16202,21288,11,0
16202,40821,12,1
21101,13431,1,1
21101,22035,2,1
21101,18531,3,1
21101,13176,4,1
21101,31717,5,1
21101,46720,6,1
21101,47209,7,1
21101,40723,8,1
21101,48857,9,1
21101,19478,10,1
21101,27423,11,1
21101,34448,12,1
23571,28572,1,1
23571,12962,2,1
23571,30338,3,1
23571,35055,4,1
23571,44728,5,0
31554,6184,1,1
31554,8803,2,0
32608,42803,1,0
34244,21903,1,1
34244,6347,2,1
34244,13176,3,1
34244,40516,4,1
34244,47766,5,1
34244,20280,6,1
34244,9472,7,1
34244,45007,8,1
34244,44683,9,1
34244,48775,10,1
34244,45200,11,1
34244,18288,12,1
34244,17794,13,1
34244,20114,14,1
34244,34358,15,1
34244,13535,16,0
34244,22993,17,0
34244,30305,18,1
34244,14833,19,0
34244,33750,20,0
34244,18993,21,0
34244,35140,22,0
34244,46979,23,1
34244,39275,24,1
34244,11107,25,0
35475,21616,1,1
35475,41787,2,0
35475,12149,3,0
35475,24563,4,0
35475,45681,5,0
35475,26586,6,0
36814,12756,1,0
36814,49075,2,1
36814,2452,3,1
36814,25371,4,1
36814,47719,5,1
36814,20327,6,1
36814,24852,7,1
36814,21903,8,1
36814,22908,9,1
36814,16589,10,1
39446,10148,1,1
39446,649,2,1
39446,29487,3,1
39446,4605,4,1
39446,46999,5,1
39446,36262,6,0
39446,5818,7,0
41376,6774,1,1
41376,3957,2,1
41376,26079,3,1
41376,3843,4,1
41376,35561,5,1
41376,45200,6,1
41376,39612,7,0
41376,1529,8,1
41376,34244,9,0
41376,2272,10,1
41376,30021,11,0
45189,17122,1,0
45229,15758,1,1
45229,17183,2,1
45229,17758,3,1
45229,11512,4,1
45229,46676,5,1
45229,34993,6,1
45229,33754,7,1
45229,30561,8,1
45229,16262,9,1
45229,42828,10,1
45229,27086,11,1
45229,48220,12,1
45229,38312,13,1
45229,31635,14,1
45229,49026,15,0
45229,14891,16,1
50904,32281,1,0
50904,35815,2,1
50904,2397,3,0
50904,6760,4,0
50904,12674,5,1
50904,41774,6,1
50904,49510,7,1
50904,10199,8,1
50904,47652,9,0
50904,28904,10,0
50904,30391,11,1
50904,12254,12,0
50904,12206,13,0
50904,8654,14,0
61558,19660,1,0
61558,17029,2,0
61558,28993,3,0
61558,42736,4,0
61558,14168,5,0
61558,1940,6,1
61558,47626,7,0
61558,1578,8,0
61558,10706,9,1
61558,43279,10,0
61558,38714,11,0
62477,18288,1,0
62477,27086,2,1
62477,48205,3,1
62477,23734,4,1
81253,43154,1,1
82135,42667,1,1
82135,19942,2,0
82135,26076,3,0
82135,43986,4,0
83824,4837,1,0
83824,2120,2,1
84785,12163,1,0
84785,31533,2,0
84785,31563,3,0
84785,49416,4,0
84785,35946,5,0
84785,41063,6,0
84785,15110,7,0
86849,13707,1,1
86849,44097,2,1
86849,31720,3,1
86849,12099,4,1
86849,43713,5,1
86849,39276,6,1
86849,34230,7,1
87749,44422,1,0
87749,2314,2,1
87749,45842,3,1
87749,45741,4,1
87749,10736,5,1
87749,39475,6,1
87749,27451,7,1
87749,45007,8,1
87749,10017,9,1
87749,46990,10,1
87749,30233,11,1
87749,24838,12,1
87749,9507,13,1
87749,42557,14,1
87749,18370,15,1
87749,44910,16,1
87749,38772,17,1
87749,49235,18,0
87749,8075,19,0
95801,43352,1,1
96619,45886,1,0
96619,83,2,1
96619,39732,3,1
96619,40545,4,1
96619,45104,5,1
96619,8859,6,1
96619,13440,7,0
96619,34356,8,1
96619,12703,9,1
96619,47000,10,0
101222,41588,1,1
101222,17584,2,1
101222,28553,3,0
101222,23236,4,0
101222,30450,5,0
101222,5024,6,0
101222,28849,7,0
101222,22395,8,0
101222,47766,9,0
101222,47144,10,0
101222,7241,11,0
101222,40229,12,1
101222,8193,13,0
101222,23634,14,0
101222,8670,15,0
101222,7461,16,0
101222,13829,17,0
101222,7021,18,1
101222,16797,19,0
101222,3376,20,0
101222,8412,21,0
101222,39639,22,0
101222,9076,23,0
107884,40708,1,0
107884,10749,2,0
107884,31506,3,0
107884,47626,4,1
107884,42625,5,1
107884,13780,6,0
107884,22935,7,0
107884,44359,8,0
107884,41259,9,0
107884,28842,10,1
107884,30480,11,0
107884,27156,12,0
107884,5769,13,0
107884,18531,14,1
112819,5646,1,1
112819,32857,2,1
114006,37646,1,0
114006,8277,2,0
114006,9507,3,0
114006,13877,4,0
114006,20995,5,0
114006,4957,6,0
114006,33787,7,0
114006,33754,8,0
114006,30252,9,0
114006,9028,10,0
114006,27344,11,0
114006,17652,12,0
114006,46990,13,0
114006,24062,14,0
114006,42193,15,0
114006,22825,16,0
114006,3464,17,0
114006,30720,18,0
114006,7963,19,0
114006,40268,20,0
114006,12980,21,0
114006,5646,22,0
114695,43772,1,1
114695,44632,2,1
114695,18993,3,1
114695,31373,4,1
114695,14240,5,1
114695,33071,6,1
115075,32884,1,1
115075,22935,2,1
115075,8339,3,1
115075,13852,4,0
115075,42265,5,1
115075,38739,6,1
115075,31075,7,0
126582,890,1,0
126582,34358,2,0
126582,21903,3,0
126582,13176,4,1
126582,39530,5,0
126582,36793,6,0
126582,13554,7,1
126582,14633,8,1
127309,43394,1,1
127309,46558,2,0
127309,17461,3,1
127309,37220,4,1
127309,24082,5,1
127309,24964,6,1
129682,32988,1,1
129682,20583,2,1
129682,28106,3,1
129682,39276,4,0
129682,6870,5,0
129682,15763,6,1
129682,9337,7,0
129682,327,8,1
133630,11078,1,0
133630,22025,2,1
133630,43295,3,1
133630,8022,4,1
134569,7131,1,1
134569,25890,2,1
134569,21137,3,1
134569,21288,4,1
134569,9387,5,1
134758,22963,1,1
134758,27454,2,1
134758,21137,3,1
138957,31981,1,0
138957,2745,2,1
142426,8832,1,1
142426,9810,2,1
142426,9477,3,1
142426,28427,4,1
142426,28110,5,1
