order_id,product_id,add_to_cart_order,reordered
1735540,25279,5,1
80205,22472,14,1
248159,25890,10,0
3140158,28842,2,0
13701,38891,22,0
1339531,16589,2,1
2744398,42342,1,0
2715415,40604,14,0
2581804,31190,4,1
1759610,47683,3,1
2029344,41844,6,1
2157345,29078,4,0
1424299,43891,12,0
2794380,24964,6,1
1447728,5818,11,0
1845470,5822,25,1
1205951,6649,6,0
2155071,22106,2,0
1580857,33682,3,1
889738,27548,8,0
1093575,10573,16,1
536676,39202,8,0
2819618,10339,1,1
453167,44461,2,0
3266889,49176,7,0
1482246,41005,4,1
1986346,13176,7,1
1764188,11543,1,1
34976,16797,2,1
767287,21938,4,1
837180,21137,24,1
2332951,18465,7,1
1951193,5450,14,1
1014716,24852,1,1
1285870,27695,25,0
93138,27966,7,1
430474,49235,3,1
2797725,33193,3,0
1409041,5785,8,1
393041,34358,4,1
259512,9597,15,1
2591838,1631,5,1
3285547,14267,14,1
3084062,29487,13,1
617924,20166,42,1
565331,4724,2,1
211625,24852,28,1
1064605,44632,6,1
2765739,34915,28,0
2265936,5077,1,1
2278205,21616,24,1
2610607,121,22,0
1080568,24881,5,0
492790,27323,8,1
3332494,17803,19,1
1477236,41290,1,1
515793,32864,2,1
1694721,36618,4,0
11286,1700,7,1
2211809,23375,17,1
3353496,38944,33,1
1974241,9076,24,0
1295068,42240,3,0
1024251,34243,28,0
1706639,37840,10,1
159597,32979,12,1
2302409,42585,14,1
2322553,28553,4,0
1774273,21150,10,0
1531784,27464,4,1
1632084,5959,19,1
736143,13535,13,1
2718210,49395,20,0
113754,2979,27,1
175351,35336,2,1
1111860,43749,8,1
1733670,28199,12,1
2294853,15282,1,0
2011511,19171,2,1
2288026,27355,2,0
576290,17794,4,1
2910371,46531,10,0
3127756,23405,6,0
1391623,21999,6,1
2817871,33401,4,0
2740403,25659,19,1
1313098,19023,25,0
1196116,24830,25,1
1141424,10326,2,1
2937463,39990,13,1
1195262,10017,13,0
3398322,44234,11,0
1946963,12606,2,1
45576,14668,2,1
3209298,42445,19,1
29919,31404,7,0
923794,8670,4,0
1144661,15132,9,0
1732218,12341,6,0
829544,32611,8,0
1716614,40969,5,0
2595728,40229,4,1
541504,45123,10,0
3312249,25890,4,1
2014827,35042,32,1
156794,1947,6,1
406905,1463,6,1
2725536,43352,8,1
1988698,4920,2,1
824711,44661,16,1
1260727,8955,17,0
210345,5991,6,0
1196539,3843,6,1
2588460,35946,7,1
857966,34212,11,0
1805471,7405,7,1
1991505,16975,10,1
1323677,32069,4,0
240951,38620,16,0
750645,21903,9,0
1928299,5785,3,1
1311978,15902,1,0
303690,28572,2,0
1894831,28577,13,0
779753,2078,8,0
2155780,945,10,0
1113776,35725,24,0
1056005,4216,2,1
2711327,40251,6,1
112921,196,22,1
1869328,26184,5,1
32196,28917,26,0
2042893,49006,4,0
2562739,27811,20,0
2100370,27966,1,1
1446916,45123,4,0
1751493,45013,25,0
1598119,20000,4,1
1617646,42265,1,1
492150,22035,13,0
229446,34854,8,1
1648705,17794,4,0
1263192,10528,8,0
252344,35986,7,1
2116615,27897,7,1
770568,48287,11,1
2309014,49191,4,0
3239334,2573,6,1
2881519,18727,1,1
302981,5876,5,1
1050551,37086,3,1
2653788,32864,21,0
2327753,5161,2,1
2227110,24009,11,1
2575473,907,2,1
1569172,14332,16,0
1535465,22915,4,1
2593855,21372,1,1
2356556,19057,6,0
2137973,14072,33,0
2785172,11182,6,1
2309512,41433,9,1
174863,47087,9,1
1789467,5652,7,0
2367761,5450,4,0
888048,952,10,0
3147150,3787,20,0
1363775,2825,6,1
2112454,30777,7,1
994103,26604,3,1
3362813,35989,7,1
2354371,47229,3,1
1425531,5134,5,1
2456898,44359,3,0
2247287,22888,17,1
805987,23554,1,0
647790,23216,11,1
3037843,4692,1,1
441204,23352,13,1
1190046,24852,5,0
3133880,18935,5,1
2939441,45681,4,0
1294656,39275,12,0
3117922,13176,31,1
2823405,626,23,1
325474,47766,4,1
511167,18673,3,1
578696,37528,5,0
2634736,18288,10,1
2882649,13176,6,0
1115294,8193,10,0
2138437,39561,16,0
2590653,8274,9,1
1686837,40386,2,1
231491,30776,1,1
1836487,46886,4,1
1721370,11759,1,1
1942007,32075,15,0
3303817,14858,5,1
2160094,33787,9,1
2104446,13807,1,0
