order_id,product_id,add_to_cart_order,reordered
109143,44275,1,1
109143,27845,2,1
109143,31717,3,1
109143,21137,4,1
109143,18176,5,1
109143,41787,6,0
109143,7490,7,0
109143,42824,8,0
109143,13988,9,0
109143,8174,10,1
109143,12058,11,0
109143,12464,12,0
109143,45066,13,1
109143,22417,14,0
147827,33198,1,1
147827,13176,2,1
147827,29103,3,1
147827,519,4,1
147827,30307,5,1
147827,10341,6,1
147827,17689,7,1
304846,24954,1,1
304846,13351,2,1
304846,18926,3,1
304846,24852,4,1
304846,19057,5,1
304846,5785,6,1
304846,41844,7,1
304846,28054,8,1
304846,43961,9,1
305867,17332,1,1
305867,5750,2,1
305867,32655,3,1
305867,40261,4,1
305867,26738,5,0
305867,15643,6,0
305867,22620,7,0
305867,12870,8,1
305867,48099,9,1
330860,24186,1,1
330860,28610,2,0
330860,44632,3,0
330860,32156,4,0
330860,43441,5,0
330860,1939,6,0
330860,35818,7,0
373658,35951,1,1
373658,13176,2,1
373658,7120,3,1
373658,9631,4,0
373658,21616,5,0
373658,13646,6,0
373658,5818,7,1
373658,48801,8,1
373658,42769,9,0
373658,8414,10,0
373658,16521,11,1
373658,38739,12,0
373658,34243,13,0
373658,48563,14,0
373658,43849,15,0
373658,343,16,0
374148,32413,1,1
374148,15979,2,1
374148,44177,3,1
374148,7093,4,1
374148,2425,5,1
374148,15599,6,1
374148,22128,7,1
374148,24780,8,1
374148,30170,9,1
374148,32478,10,1
374148,14875,11,1
374148,7988,12,1
374148,35267,13,1
374148,29930,14,1
374148,42534,15,1
374148,2494,16,1
374148,37036,17,0
374148,44325,18,1
374148,9752,19,0
374148,42989,20,0
374148,6128,21,1
374148,38291,22,1
374148,25798,23,1
374148,8175,24,1
374148,45099,25,0
374148,27323,26,0
374148,27801,27,0
374148,6283,28,0
374148,11563,29,0
374148,44813,30,0
374148,12019,31,1
374148,36066,32,0
374148,40354,33,1
374148,29392,34,0
374148,4470,35,1
374148,21536,36,1
374148,41062,37,1
374148,43183,38,0
374148,30767,39,0
374148,26861,40,0
374148,1875,41,0
374148,2922,42,1
699269,27388,1,1
699269,2234,2,1
699269,2240,3,1
699269,5077,4,1
699269,27395,5,1
699269,20156,6,1
699269,20955,7,1
699269,47759,8,1
699269,9076,9,1
699269,26604,10,1
699269,26040,11,1
699269,35123,12,0
699269,43632,13,0
699269,24053,14,1
699269,11944,15,0
699269,48004,16,0
699269,29432,17,0
699269,35042,18,1
699269,46842,19,1
699269,31730,20,1
699269,40376,21,1
699269,26510,22,1
699269,26709,23,1
699269,33129,24,1
699269,27323,25,1
699269,516,26,1
699269,7644,27,1
