order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1617366,169990,prior,40,4,11,8.0
1467456,51467,prior,10,5,18,1.0
2137882,25719,prior,11,1,14,16.0
895882,65133,prior,1,0,10,0.0
3081255,161370,prior,36,4,10,7.0
87835,183577,prior,3,6,9,6.0
2855860,62302,prior,3,0,13,14.0
1380102,47248,prior,9,1,14,8.0
2014253,150115,prior,7,4,6,6.0
732978,134482,prior,52,1,11,5.0
2949186,188694,prior,2,1,7,30.0
2319422,34184,train,41,0,14,7.0
2435762,28691,prior,6,5,21,30.0
733510,195034,prior,3,1,12,14.0
405622,109450,test,4,0,18,16.0
1639035,122672,prior,23,6,16,5.0
2398307,111034,prior,5,2,16,3.0
1393556,146074,prior,6,0,15,10.0
1407742,126474,prior,7,3,16,11.0
2368988,94373,prior,34,1,11,13.0
2516360,72177,train,16,2,14,30.0
2560060,135906,prior,22,2,7,5.0
2572897,43181,prior,3,1,14,1.0
150323,125514,prior,12,3,9,9.0
2388911,18479,prior,1,3,17,0.0
3268867,72492,prior,16,1,10,7.0
1550656,84677,prior,2,3,18,13.0
2286033,164853,prior,26,4,10,29.0
2306749,70886,prior,13,5,10,6.0
16280,184771,prior,32,5,17,7.0
1025199,158479,prior,1,0,18,0.0
1308214,143795,prior,2,2,14,9.0
2537204,17339,prior,20,5,10,10.0
590378,66062,train,56,2,13,0.0
2800028,76180,prior,11,0,23,30.0
2509644,115341,prior,2,1,15,15.0
2988436,71663,prior,31,0,13,1.0
2857727,104170,prior,6,1,15,7.0
2930183,5848,prior,16,3,16,6.0
2901465,121337,prior,27,0,11,17.0
1738134,45472,prior,39,6,22,3.0
870619,72648,prior,7,2,12,4.0
173413,84265,prior,4,1,17,4.0
2268544,142236,prior,5,5,15,16.0
890186,71750,prior,14,1,5,2.0
2876386,26406,prior,12,4,11,3.0
512682,12714,prior,10,0,14,6.0
1714150,197818,prior,16,3,16,4.0
2404339,18715,prior,43,3,17,0.0
3414647,167335,prior,12,6,8,5.0
1266544,43051,train,52,0,13,15.0
649363,162446,prior,40,2,15,6.0
1863714,16945,prior,12,0,18,30.0
2744151,190251,prior,40,1,13,7.0
2203092,103141,prior,23,4,18,8.0
580146,28831,prior,50,1,9,7.0
1457905,196714,train,46,0,23,9.0
3336153,150562,prior,7,5,14,20.0
1984764,177817,prior,53,0,8,11.0
328956,12572,prior,9,5,14,11.0
1226820,71637,prior,5,4,14,7.0
2285542,63423,prior,14,6,17,3.0
3196491,62918,prior,3,5,15,30.0
3279786,60877,prior,5,0,20,11.0
2356599,3218,prior,4,2,20,30.0
442703,122268,prior,82,0,21,3.0
5351,67583,prior,10,5,11,15.0
3015446,83832,prior,32,5,14,14.0
1097823,199841,prior,34,3,21,0.0
1374650,154736,prior,8,0,12,9.0
715548,13456,prior,21,1,14,5.0
493872,62451,prior,3,6,13,7.0
1543262,18598,prior,3,2,8,30.0
2903436,114124,prior,8,2,22,2.0
2800120,127199,prior,4,0,8,11.0
1186815,132068,prior,2,4,18,4.0
1975124,40883,prior,4,0,12,28.0
2570430,48369,prior,27,2,21,2.0
1966956,47666,prior,39,5,17,3.0
3083879,60935,prior,24,2,12,1.0
3366967,75627,prior,4,0,14,4.0
1089272,202383,prior,3,6,15,8.0
161943,136726,prior,7,5,15,7.0
2487767,186973,train,27,1,15,8.0
632026,7600,prior,37,4,16,7.0
242963,163257,test,4,0,8,30.0
3111371,203914,prior,2,4,17,9.0
2807000,142673,prior,80,5,13,2.0
1724779,138400,prior,11,2,2,30.0
2565241,35291,prior,11,6,14,14.0
2619993,142165,prior,11,6,16,30.0
2692546,18332,prior,63,5,7,1.0
2985603,205595,prior,4,1,16,10.0
3365081,16238,prior,4,3,0,4.0
620510,10359,prior,3,0,12,30.0
2915154,202104,prior,6,5,17,30.0
1816022,29878,prior,45,3,7,23.0
2958975,76873,train,6,0,16,29.0
3397031,24362,prior,16,4,8,4.0
1604699,154985,prior,1,6,7,0.0
2002185,58177,prior,7,0,15,7.0
99881,79832,prior,2,6,17,14.0
215197,143702,prior,9,4,16,4.0
3325347,105390,prior,24,2,10,5.0
3112678,99093,prior,21,2,22,6.0
3314863,47094,prior,4,5,15,30.0
1063639,23327,prior,10,3,18,5.0
1511237,31098,prior,66,6,8,0.0
2507966,180874,prior,4,0,21,13.0
613199,126828,prior,5,3,10,7.0
3388283,90368,prior,7,5,16,11.0
1803443,62094,prior,7,1,9,21.0
3245224,183693,prior,11,4,20,6.0
3239550,60350,prior,3,4,19,14.0
564084,67134,prior,18,2,11,23.0
3319561,146271,prior,25,6,14,3.0
1790363,201113,prior,2,1,14,30.0
533617,57130,prior,82,6,12,4.0
705692,18378,prior,14,1,12,13.0
1830280,55715,prior,17,6,20,3.0
1529039,191267,prior,14,4,12,13.0
994229,198116,prior,9,1,14,8.0
2625803,108259,prior,3,5,16,12.0
1761268,60195,prior,7,0,14,30.0
93143,159225,prior,11,4,10,10.0
1027955,68009,prior,37,0,10,7.0
2451073,36172,prior,5,5,20,15.0
418470,154121,prior,6,6,12,19.0
1065470,203419,prior,10,6,16,7.0
2674562,183299,prior,54,3,7,5.0
231231,95238,prior,34,1,7,3.0
749008,10034,prior,23,5,16,5.0
820251,177037,prior,7,4,16,27.0
1655672,178321,prior,12,5,17,26.0
1802457,176424,prior,10,1,16,2.0
