product_id,product_name,aisle_id,department_id
43383,Click Gel Automatic Ocean Fresh Scent 4 Disposable Applicators Toilet Bowl Cleaner,114,17
2321,Orange Halo,24,4
20807,Authentic Deep Dish Cheese Pizza,79,1
17112,Mocha Almond Fudge Ice Cream,37,1
31488,Pea & Spinach Teether Wafer,100,21
870,Just Fruit Salad,50,19
10870,Blue Label Year of the Ram,124,5
31822,Four Cheese Tomato Cream Pasta Sauce,9,9
38312,Almond Milk Strawberry Yogurt,120,16
4627,V Fusion Berry Vegetable & Fruit Beverage,98,7
23401,Italian Herb Flatbread Wraps,128,3
1677,Restorative Conditioner,22,11
47155,Curried Lentil Soup,69,15
21101,Organic Southwest Style Salad,123,4
28073,Cherry Vanilla Ice Cream,37,1
30484,Paleo Baking Flour,100,21
49282,Mini Croutons,89,13
27363,Green Curry Paste,66,6
16638,Knights Valley Cabernet Sauvignon,28,5
35927,Fruit Fusions Gummies Candy,45,19
27950,Pineapple Mango Coconut Water,31,7
20179,Sprouted Pumpkin Seed Butter,88,13
35353,Dino Eggs Instant Oatmeal,130,14
3436,Egg Substitute,86,16
17433,Candy Rolls Assorted Flavors,45,19
32785,Muddy Buddies Snack Mix Cookies & Cream,61,19
7226,Maximum Absorbency Large Guards for Men,20,11
30526,Essentials Bathroom 2 Ply Soft Giant Roll Tissue,100,21
4333,Imperial  Victory at Sea Porter,27,5
11458,Fiber,22,11
41354,All Occasion Classic White Paper Plates,111,17
37083,Nickelodeon Smiles Children 2+ Dora The Explorer Extra Soft Toothbrush,20,11
42456,Honest Hand Sanitizer Spray Free & Clear,25,11
9610,Ultra Thin Armor Spermicidal Lubricant Condoms,6,2
45864,Meatless Vegan Hot Dogs,14,20
48488,Gasalia Gas Quick-Dissolving Tablets - 60 CT,70,11
832,High Protein Chocolate Light Milk Shake,65,11
37313,Tropical Pineapple Chunk,100,21
27899,"Hand Wash, Pink Grapefruit",127,11
42725,"Quick Defense, Vegetarian Liquid Phyto-Caps",47,11
41960,"Organic Daikon Root, Bunch",83,4
43846,Adult Complete Gummies with Multivitamin + Omega 3 + Vitamin D,47,11
17407,Cranberry Kombucha,31,7
14746,Round Mesh Scrubber,114,17
22707,Original Very Vanilla Complete Nutritional Drink,65,11
2558,Organic & Fair Trade Green Tea with Jasmine Bags,94,7
4007,Adhesive Bandages Activ Flex Regular Advanced Healing,118,11
17067,"Bread, Whole Grains",112,3
24292,Artichoke Burgers French Herb,38,1
34341,Mini Holiday Vanilla Cupcakes,8,3
27906,Imperial Champagne,134,5
35948,Tonic Water,115,7
41458,Chocolate Miracle Tart,8,3
44980,The Original Multi Grain Bread,112,3
3671,Moist & Meaty Burger with Cheddar Cheese Flavor Dog Food,40,8
20701,Dinamita Tortilla Chips Chile Limon,107,19
18734,Energy Pineapple Strawberry 1.62oz,90,7
24081,"Chocolate Snaps, Old-Fashioned, Swedish Style",61,19
12351,Smooth & Sweet Citrus Punch,31,7
31290,Pickled Ginger With Shiso Leaves,110,13
15658,Lavender Avocado Intensesive Conditioner,22,11
18118,MixUps Backyard Cookout Cat Treats,41,8
30360,Anti-Diarrheal Tablets,70,11
5298,30 Minute Marinade Herb & White Wine With Lemon Juice & Garlic,5,13
45160,Original High Fiber 100% Vegetable Juice,98,7
12468,TofuPlus Black Soybean Organic Firm Tofu,66,6
4737,Kikkoman Soy Sauce,72,13
22377,Creamy Custard & Apple Cinnamon 2 In 1 Candle,101,17
3285,Strawberry Squeeze Fruit Spread,88,13
2497,Gluten Free Devil Food Cake Mix,105,13
19093,Organic Brazilian Cashew Nuts Superfood,117,19
3519,100% Orange Juice No Pulp,31,7
10928,Vanilla Bean Paste,17,13
45105,Protein Pleasure Peanut Butter Chocolate Chip Macrobar,3,19
7747,Lemon Mint Foaming Hand Wash,127,11
30736,Hard Cider Crisp Apple,27,5
30180,Cinnamon Applesauce Pouch,99,15
35035,100% Whole Grain Fig Newton Cookies,61,19
16713,Curl Nurturing Shea Butter Detangler,22,11
14511,Grated Pecorino Romano,2,16
29121,Blue Corn Taco Shells,30,6
44703,Minis Coconut Milk Non Dairy Frozen Dessert Fudge Bars,37,1
31333,Organic Chickpea Fusilli Pasta,100,21
2565,Guacamole Spicy,67,20
21399,Grovestand Lots of Pulp Family Size Orange Juice,31,7
32584,Honey Ham & Smoked White Turkey Sub Sandwich Kit,96,20
12847,Organic Green Lemonade,31,7
17673,Fresh Oregano,100,21
24046,Nux Vomica 6C Homeopathic Pellets,47,11
501,Proactive Health Mature Adult Hairball Care Cat Food,41,8
18195,Humm! Greek Olives Hummus,67,20
47270,Thin Ultra Always Ultra Thin Super Pads With Wings 16 count Feminine Care,126,11
8605,"Kale, Tuscan Herbs and Potatoes",107,19
49516,Turtle Pie,119,1
16995,Sliced Soppressata Salame,96,20
38706,Philly Steak & Cheese Frozen Sandwiches,38,1
14526,Mixed Berry Fruit & Grain Cereal Bars,48,14
9728,All Natural Greek Seasoning,104,13
22041,Sugar Free Cinnamon Chewing Gum,20,11
3426,Organic Better Rest Tea Blend,94,7
43802,Organic Sweet Apple Chicken Sausage,106,12
38340,Everyday Plates 8.5 in,111,17
48840,Chai Spice Organic Tea,94,7
28794,Great Lash Big Washable Mascara - Blackest Black,132,11
39195,Chocolate Protein Shake,65,11
42310,Organic 100% Durum Semolina Fusilli,131,9
18671,Sugar Free Monkfruit 55% Cacao Chocolate Bar With Cocoa Nibs,100,21
40623,Facial Tissues Boxes,54,17
21738,75 Sheet Lint Roller,114,17
47519,Medium Colombia Ground Coffee,26,7
2465,Peanut Butter Formula Miniature Dog Treats,40,8
26574,Tamales Sweet Corn,38,1
37101,"Facial Tissue, Unbleached, 2-Ply",54,17
2725,Butter Pecan Nutrition Shake,65,11
29081,Special K Cookies & Crème Pastry Crisps,48,14
48582,Hawaiian Breeze Solid Air Freshener,101,17
42224,Coppertop AA Alkaline Batteries,87,17
36628,Adult Gummies Multi Dietary Supplement - 90 CT,47,11
26392,Proactive Health Lively Senior Cat Food,41,8
4252,The Greek Burrito,38,1
22508,Jalapeno Jack Queso with Salsa Verde,51,13
37819,Otis Oatmeal Stout Beer,27,5
42880,Organic Unpasteurized Brown Rice Miso,100,21
34726,Butter Toffee Peanuts,117,19
40670,Half N Half,108,16
41665,Organic Mexican Blend Finely Shredded Cheese,21,16
1705,Disney Frozen Fruit Flavored Snacks,50,19
10915,Organic Short Brown Sprouted Rice,68,10
9249,Chewy Caramel in milk Chocolate,45,19
15768,Purify & Replenish Deep Cleansing Shampoo,22,11
22669,Pineapple Super Greens Kombucha,31,7
38478,Movie Theater Mini Bags Butter Popcorn,23,19
29248,Gluten Free Brownie Mix,105,13
3052,Triple Action Booster,74,17
41505,Lemon Lime Water Drops Delicious Natural Stevia Water Enhancer,64,7
11117,Texas Garden Flowers,87,17
23908,Sour Berry Bears,45,19
32054,Organic Strawberry Super C Vitatrition Juice,31,7
11429,Acne Wash,73,11
17442,Organic 2nd Foods Fruit Apple Blackberry Baby Food Organic Purees Fruit/Veg,92,18
30836,Organic Belgian Pancake And Waffle Mix,130,14
46231,1/2 Caff Medium Ground Coffee,26,7
40374,Picante Medium Salsa,51,13
18219,Frosted Mini-Wheats Strawberry Cereal,121,14
44110,Fruit Burst Squeezers Strawberry Flavor Fruit Purees & Juices,99,15
47296,Garlic Plantain Chips,107,19
35311,Chocolate Chip Chewy Granola Bars,3,19
14841,Nut Flour Blend,100,21
29984,Vanilla Hazelnut Handcrafted Coffee,26,7
46050,Graduates Pasta Pick-ups -  Turkey & Vegetable Ravioli,92,18
44397,Organic European Style Sweet Unsalted Butter,36,16
2061,Vanilla Maple Supershake,84,16
48986,"Herbal Laxative Tabs, Tablets",70,11
29384,"Sliced Stewed Tomatoes with Onion, Celery & Bell Pepper",81,15
12439,95% Fat Free Turkey Franks,106,12
30249,Bomba Rice,77,7
31484,Real Simple,87,17
45249,Gluten Free Chocolate Chunk Cookies,105,13
8023,Pinata Apple,24,4
16258,Sours,45,19
8578,Hello Hydration Moisturizing Shampoo With Coconut Essenses,22,11
30815,Oinkies Pig Skin Twists Dog Chews,40,8
29848,Diet Peach Tea,94,7
21463,Vanilla Bean Light Ice Cream,37,1
39999,Body Bar Soap Garden Mint,25,11
31929,"Dressing, Red Wine Vinaigrette",89,13
46180,Fruit And Vegetable Snacks,92,18
39655,Organic Turkey Pate Cat Food,41,8
4869,White Standard Baking Cup,97,13
7070,Guacamole Seasoning Mix,5,13
36299,Fiery Mix Chips,100,21
5572,Kellogg's Frosted Mini Wheats Maple Brown Sugar Cereal,121,14
32479,Shea Butter with Warm Vanilla Beauty Bar,127,11
14468,Heart Healthy Southwest Style Vegetable Soup,69,15
48185,Fine Shredded Mexican Cheese,21,16
45784,Organic Master Brew Citrus Kombucha,94,7
26798,Light Lemon Cream Pie Yogurt,120,16
49002,Dog Treat Beneful Healthy Smile Twists Small,40,8
18210,Men Refreshing Splash Body Wash,127,11
13719,Hawaiian Rolls,43,3
25910,Gluten Free Flax Bread,112,3
49523,Blanc,62,5
37351,Arnica 30C Pellets Tubes,133,11
23802,Summer Sausage,106,12
16700,Baby Bee Bubble Bath -,102,18
3068,White Pumpkin,83,4
20358,Mozzarella & Provolone Shredded Cheese,21,16
46941,Provolone Slices,21,16
35591,Natural Reduced Fat Sharp Cheddar Cheese Sticks,21,16
28352,Lavender Shea Hand Soap,127,11
13006,All Natural Vanilla Extract,17,13
21983,Split Pea with Barley Soup Mix,33,6
24819,Umcka ColdCare Mint-Menthol Syrup,11,11
13571,"Energy Drink, Organic, Cranberry Apple",64,7
22480,Gingerbread Spice 45% Milk Chocolate,45,19
47014,Raspberry Cheesecake Gelato,37,1
12969,Fresh Blueberry Vanilla Goat Cheese,21,16
15342,Dirty Mint Chip Ice Cream,37,1
7733,Chardonnay California,62,5
8914,Chicken Breast,35,12
1932,Soy Chorizo Vegetarian,106,12
41940,Original Breakfast Sausage,106,12
602,Banana Chocolate Chip,52,1
17875,Fabric Conditioner Morning Sun Scent,75,17
424,Linguine Pasta,131,9
48871,Natural Tomato Paste,81,15
39057,Hazelnut Light Roast K-Cup Packs,26,7
6183,Wide Mouth Lids,10,17
32060,Savory Delights Filet Mignon Flavor with Bacon & Potato in Meaty Juices Wet Dog Food,40,8
12402,"Giardiniera, Hot",110,13
4099,Original Scent Powder Laundry Detergent 15 Loads,75,17
22976,Jacked Ranch Hot Chips,107,19
31958,Spinach and Arugula Salad,123,4
