aisle_id,aisle
37,ice cream ice
133,muscles joints pain relief
24,fresh fruits
117,nuts seeds dried fruit
50,fruit vegetable snacks
23,popcorn jerky
98,juice nectars
94,tea
55,shave needs
58,frozen breads doughs
33,kosher foods
85,food storage
12,fresh pasta
29,honeys syrups nectars
110,pickled goods olives
81,canned jarred vegetables
68,bulk grains rice dried goods
129,frozen appetizers sides
113,frozen juice
91,soy lactosefree
78,crackers
56,diapers wipes
112,bread
115,water seltzer sparkling water
30,latino foods
126,feminine care
42,frozen vegan vegetarian
65,protein meal replacements
18,bulk dried fruits vegetables
96,lunch meat
28,red wines
32,packaged produce
22,hair care
61,cookies cakes
26,coffee
102,baby bath body care
86,eggs
5,marinades meat preparation
62,white wines
72,condiments
43,buns rolls
3,energy granola bars
107,chips pretzels
59,canned meals beans
44,eye ear care
108,other creams cheeses
93,breakfast bakery
76,indian foods
9,pasta sauce
52,frozen breakfast
87,more household
71,refrigerated pudding desserts
64,energy sports drinks
8,bakery desserts
19,oils vinegars
54,paper goods
35,poultry counter
130,hot cereal pancake mixes
121,cereal
95,canned meat seafood
38,frozen meals
31,refrigerated
101,air fresheners candles
103,ice cream toppings
63,grains rice dried goods
120,yogurt
104,spices seasonings
97,baking supplies decor
111,plates bowls cups flatware
11,cold flu allergy
99,canned fruit applesauce
82,baby accessories
17,baking ingredients
106,hot dogs bacon sausage
60,trash bags liners
21,packaged cheese
118,first aid
69,soup broth bouillon
4,instant foods
105,doughs gelatins bake mixes
119,frozen dessert
123,packaged vegetables fruits
34,frozen meat seafood
2,specialty cheeses
79,frozen pizza
125,trail mix snack mix
122,meat counter
70,digestion
100,missing
131,dry pasta
109,skin care
40,dog food care
13,prepared meals
25,soap
20,oral hygiene
45,candy chocolate
114,cleaning products
73,facial care
90,cocoa drink mixes
39,seafood counter
66,asian foods
67,fresh dips tapenades
89,salad dressing toppings
84,milk
27,beers coolers
10,kitchen supplies
92,baby food formula
36,butter
53,cream
134,specialty wines champagnes
49,packaged poultry
41,cat food care
6,other
116,frozen produce
132,beauty
127,body lotions soap
48,breakfast bars pastries
128,tortillas flat bread
57,granola
16,fresh herbs
80,deodorants
88,spreads
75,laundry
14,tofu meat alternatives
47,vitamins supplements
74,dish detergents
124,spirits
51,preserved dips spreads
46,mint gum
7,packaged meat
83,fresh vegetables
1,prepared soups salads
77,soft drinks
15,packaged seafood
