order_id,product_id,add_to_cart_order,reordered
2903742,44683,11,1
1234016,13914,7,0
892162,44632,1,1
371796,43772,1,1
2206674,24964,40,0
384635,18285,9,1
2764133,27522,24,0
2633559,26283,1,1
1660122,39041,14,0
1361560,21293,13,0
2542337,10333,7,1
2484973,34660,13,1
2512970,7131,4,1
975574,48723,4,1
2689103,32556,11,1
3345866,35233,3,1
2357823,45763,2,1
746837,6190,27,0
1207534,45064,1,1
576006,20520,18,1
1315725,43205,1,1
3093547,260,11,1
1581581,40479,8,0
2428274,49683,4,0
1942566,45066,1,0
717828,34050,24,0
2111463,14901,4,1
2312084,4483,2,0
2326617,44570,16,0
642599,45066,11,1
1012701,13431,6,1
2165320,21903,11,1
261652,25043,20,1
180058,11712,1,1
3062661,8955,31,0
2303198,26873,15,1
1115608,18811,14,1
1888763,35561,13,1
2868309,36735,30,0
656548,10749,8,0
876420,34216,16,1
1071704,46738,11,1
3403230,1017,9,1
460120,37646,10,0
672274,24561,2,1
665725,21519,2,1
1477822,45066,3,1
2701118,16953,1,0
1493298,28597,4,0
2175,14467,21,1
203074,23452,6,1
162388,4428,16,0
1266314,46584,10,1
2672364,49131,1,0
2365256,27939,9,0
1193891,522,14,0
2129691,20842,2,1
3303387,27521,13,0
3088931,30489,10,1
924504,22565,9,0
2261501,43122,9,1
922790,39984,4,1
3120794,20632,2,1
2922580,8518,2,1
3059559,43713,2,0
1570880,2338,26,0
1398943,40604,3,1
656991,38073,12,1
943068,27548,10,0
467726,48364,7,0
1001559,28204,3,1
3243376,40604,14,0
1072466,8442,17,1
2127578,41319,27,0
2358775,5015,4,1
1477106,23695,11,1
360756,43122,12,1
1480979,16019,1,0
875014,48628,4,1
1834168,26209,7,0
1226633,28572,5,1
1921183,36483,18,1
1051877,21557,1,0
3005403,2611,5,1
1849354,32467,2,1
305041,23991,6,1
3238790,34969,5,1
668202,11837,2,0
71884,13780,11,1
2521511,7076,7,1
607856,44739,11,0
2978331,47792,19,0
2754823,26209,11,0
1920207,5450,1,1
419697,5876,8,1
2618672,45687,7,1
35426,12916,12,1
2310339,38343,6,1
1410463,2091,10,1
2271819,19478,4,0
481443,46169,13,0
568899,21903,3,0
2729773,5128,11,1
170407,2540,5,1
70742,44359,14,1
365638,35618,31,0
2408389,31188,14,1
3322590,34126,2,1
1205797,24852,9,0
165076,4799,21,1
2229506,29871,11,1
964510,16326,1,0
2247356,36522,1,0
2759011,5769,12,1
2477067,14852,13,0
3365232,21881,8,0
880125,44949,7,1
2347187,4605,3,0
1241461,34281,16,1
663865,33000,11,1
474328,31848,15,0
1595907,9839,5,1
1465428,44229,18,0
1879389,32689,5,1
1245887,40136,3,1
2839100,28601,6,1
93561,21903,24,1
1903402,38100,15,0
2254953,42102,1,0
1089290,31562,8,0
559104,19678,8,1
923641,21704,8,1
3349239,17159,33,0
1643669,40604,1,0
335141,39137,11,0
3033272,480,12,1
3082435,40709,15,1
1419012,36772,6,0
1966440,8239,6,1
51410,34448,19,1
2875943,29582,28,0
442590,38159,8,0
618388,11408,9,0
2705540,11520,5,1
699001,39097,17,0
2731618,10644,25,1
1492304,26165,15,1
2835942,47402,1,1
552776,24834,3,1
821032,15613,2,1
1450620,13573,1,1
2226179,46149,3,1
1765294,35419,5,0
99242,31343,2,1
16333,4030,4,0
2542715,17555,3,0
240772,26118,2,0
2512024,13829,1,0
2740682,46294,3,0
2214426,1330,13,0
419714,18465,2,1
51818,44566,2,1
249863,11520,6,0
102926,35898,8,1
2028243,11826,3,1
727898,38340,2,0
179881,18362,5,1
468601,34584,12,0
2067304,29889,22,0
738667,49615,1,1
1430877,15693,1,1
2512680,31743,13,1
2839433,733,13,1
79372,11543,18,0
3140164,8736,15,1
2094997,24852,1,0
1933227,47155,10,0
1200263,17902,1,1
269839,2106,14,1
2226814,42265,5,0
166363,35670,8,1
2534991,29901,7,0
3308884,33957,5,1
272363,22935,10,1
1945909,44359,6,0
1742166,581,9,0
3371757,43961,10,1
1608752,27626,7,1
182853,33741,20,1
2180510,21137,8,1
2497328,7361,2,1
2595547,12204,6,1
462037,31717,1,0
1493198,21137,3,0
2886605,25659,22,0
2104306,18027,2,1
1834633,21903,4,1
2323897,46738,3,1
772722,16235,25,0
2249778,28465,5,0
355250,33044,32,1
2968390,45007,8,0
2028822,19057,6,1
545369,47630,4,0
1147497,210,14,1
1075366,46962,19,0
269576,13083,7,1
1688081,10032,3,1
3381580,19987,2,0
230864,25340,7,0
3341710,2966,3,0
3396225,47209,2,1
