order_id,product_id,add_to_cart_order,reordered
1269577,13984,1,1
854756,1559,17,1
559982,12015,4,1
456704,16965,10,0
3195898,8193,12,0
1612459,41658,23,1
2453377,22695,11,0
205425,18926,2,1
848371,28625,15,0
2754551,12357,24,1
1212205,39698,13,1
2544353,44233,11,1
2610387,459,3,1
255689,41844,11,1
1801565,38439,8,0
1853767,10602,2,1
640391,32271,11,0
501768,44703,12,0
2266804,46979,1,1
637214,23181,2,1
1145197,27966,11,1
2322610,26280,1,1
1550103,41058,8,1
2980151,43642,11,1
306798,31720,4,1
305985,45007,11,1
42175,24852,5,1
1106871,27086,17,1
2039099,32360,10,1
1213330,33000,4,1
1654966,28978,10,0
1145821,12899,4,1
1305542,20215,5,0
2437553,27203,2,0
58387,49605,16,1
613759,28204,17,0
1378526,40063,26,1
3069697,23516,11,0
1989861,29311,11,1
2332945,22827,7,0
2506758,5876,9,1
2739474,1685,2,1
2783457,25421,2,1
1785417,3298,4,1
2682845,21543,59,1
3188595,17948,22,1
1351770,35124,13,1
1971443,8143,2,0
674950,48494,9,0
2896565,24964,3,1
1540184,1729,1,1
1774129,19495,3,1
1088697,19348,1,1
2456476,1463,12,0
2848708,31506,4,0
78092,7862,2,1
962041,39732,11,0
2250721,16953,4,1
755030,22507,3,1
2967625,38557,3,0
400059,44375,3,1
2233760,42827,8,1
2865688,48953,9,1
3158480,39301,3,0
1358426,41847,6,0
3040681,18465,4,1
1823655,36165,3,1
1090561,48004,4,0
225732,25659,30,1
1694288,11345,2,1
2139810,14147,4,1
1690311,24852,2,1
3040578,12916,3,1
2465981,45368,3,0
1207011,32864,1,1
2741482,46206,14,1
2516191,37687,1,0
1749751,8518,1,0
1690886,43122,2,1
2494990,33647,12,1
479061,32857,21,1
923010,48785,1,0
252051,16797,5,0
2999003,14218,6,1
618986,18339,10,0
2955511,28993,14,1
2257966,49267,7,1
3303463,37067,5,0
2569324,8638,7,1
2628273,15613,3,0
1455945,46979,13,1
2680993,27796,7,1
952618,13263,1,1
1066307,9210,13,0
2209671,38383,10,1
536406,31915,7,1
1372737,47794,5,0
166409,32828,2,1
529053,13176,4,1
2596903,16797,3,1
2073864,11941,10,1
743859,18770,8,0
2012507,18027,3,0
2207197,38775,3,1
1423248,31683,3,1
1007973,33994,24,0
2196089,5876,13,0
2713609,30450,7,1
2561047,1957,2,0
3396626,24385,1,0
2281828,26047,15,0
944368,49638,8,1
1352891,2408,8,1
1464176,24955,37,1
3317956,49683,7,0
2721242,12576,3,1
2334374,7736,5,1
910178,41388,3,1
2074603,21292,3,1
1613272,42803,9,1
1774954,34126,4,1
2699583,19145,4,0
2665710,36598,7,1
909340,11069,4,0
1533014,9290,6,0
181541,36857,25,1
2905113,14467,12,0
3032764,10132,26,0
1581195,1553,17,1
691500,42265,11,1
1677682,40380,7,0
2893277,22656,38,1
1906412,47766,2,1
394940,651,16,1
928107,21330,16,1
1402419,17747,2,0
2849949,22888,7,1
394102,28156,9,0
1477765,47766,2,1
910043,5794,8,0
1439979,20520,4,0
3140263,10749,5,1
3000338,10967,27,0
850212,8168,15,0
435512,39625,12,1
3354557,1112,3,0
757655,27966,19,1
2656750,15255,7,1
1376427,11361,21,1
2817564,35723,24,1
1030176,6187,10,1
2871699,28204,5,1
440245,10765,10,0
2363995,7361,12,0
3262952,35946,25,0
230972,46206,30,1
2675210,45948,1,1
689035,49185,2,1
1782628,18288,15,0
3068895,36848,5,0
1230760,48182,1,1
2840057,24830,7,0
3130851,14955,2,0
711790,2077,10,1
3391715,32265,3,1
328458,39921,3,1
115396,43768,7,1
1699900,37119,6,1
2204280,34789,3,1
1874731,46575,4,0
2968223,7628,17,1
903778,15902,9,1
3294165,32579,8,1
1613234,33303,24,0
206708,18523,6,0
1264925,47890,21,1
1278529,20590,20,1
1263161,49131,14,1
1521278,9547,3,0
1240817,37920,16,1
3377559,35042,15,0
2545362,45368,3,0
869197,18370,13,1
1769317,9387,20,1
2827790,21137,9,1
2043618,5091,5,0
1447071,20114,15,0
2756772,31985,14,1
1342334,38293,4,1
684652,13423,23,0
1931301,47145,4,0
2507913,26914,4,1
873046,35264,11,1
3178674,2361,3,1
173747,33232,20,0
2693620,6046,5,0
1828122,27413,11,0
496145,34243,40,1
3280477,33129,10,1
425123,3888,9,1
238743,47626,8,1
934108,31893,7,1
755084,19057,18,1
1192966,8424,3,0
1546727,17400,13,0
3022991,13733,12,1
25180,34004,7,1
2845433,17122,3,0
133831,31717,11,0
1665707,40542,3,0
782753,41169,11,0
1130004,13176,2,1
1685449,36695,6,1
3168212,8843,2,1
3197207,8277,1,0
1546341,22935,16,1
3367366,37250,14,0
529986,37055,9,0
2901516,8087,17,1
90064,8309,5,1
2466296,36058,7,1
1521738,16363,1,1
1014083,47626,11,1
996952,45066,27,1
485042,3464,7,0
32735,5876,4,1
795129,13176,12,1
2219853,24925,3,1
2663124,11777,9,0
552499,36393,6,0
1039058,28398,4,1
2749097,14819,34,1
1934620,11870,7,0
2747739,18027,2,0
1049642,30006,7,0
3216489,44575,10,1
1273712,43530,3,0
778467,13110,8,1
2531014,1033,3,1
3163932,27663,21,1
313905,13176,4,1
2557972,47591,4,1
1274399,21137,4,1
352089,14385,5,0
3123179,48283,6,0
2160087,37115,1,0
3318623,8710,33,0
1054115,15290,6,0
594458,25837,2,1
608588,19663,3,1
2319272,47766,4,1
24466,41593,3,0
2596807,38689,2,1
820531,45009,2,1
2131063,21038,3,1
1666624,41594,2,1
1652941,34126,14,1
412386,46222,1,0
504178,24852,2,1
1790340,38290,1,1
1372608,45188,10,0
1521740,24639,20,1
1665888,42936,4,0
3336181,5077,1,0
158851,20738,5,0
601701,29447,1,1
494538,47144,7,1
1530249,16797,2,1
326361,45029,4,0
2266804,29390,8,1
2382504,25435,12,1
799105,36082,4,1
1842240,39180,9,1
839333,20081,13,1
262103,22993,15,1
3341156,46575,4,1
1802838,19446,27,0
1118851,39322,8,1
1401350,37131,3,0
2466530,37687,9,1
3160964,15130,3,0
2475062,12845,14,1
2482038,35951,7,1
3408822,27801,9,0
961744,5337,6,0
1293462,38739,13,0
1851791,28785,4,0
1732525,29382,4,1
934890,35915,5,1
2016183,35221,3,1
1291501,12872,16,1
2360670,23719,4,1
3151283,34530,8,1
3105691,20697,1,0
1902720,3376,14,1
645792,36029,2,0
1408329,20269,11,1
1982783,43154,16,1
1356417,23106,9,1
1573492,44795,4,1
1705262,24852,2,1
2407155,25072,13,0
2144924,13829,7,1
2041203,24852,1,1
1379356,17758,21,0
1337076,33232,5,1
1152817,34214,1,1
158559,35182,15,0
2265517,27104,1,0
1767942,20319,11,0
2397450,45,7,0
895577,43908,2,0
634560,19660,7,1
408951,19173,20,0
1148593,20248,19,0
403746,3098,10,1
697515,8920,13,1
2038177,34448,3,1
2833878,39491,9,1
2663697,21128,5,1
303071,46802,3,1
1611735,33029,2,1
1637057,39351,8,0
3217634,13712,1,1
2958110,38730,4,1
1684199,44632,8,0
2622728,35734,4,0
2226246,37774,3,1
2062131,13176,4,1
2988238,1560,10,1
2619787,45200,3,1
356265,17550,5,0
1049788,26497,14,0
2386441,19835,13,0
3056003,27966,8,0
343514,47298,4,1
2089260,48203,3,0
347470,47209,2,1
3132723,41362,7,1
2012202,13641,2,1
2764746,13176,13,1
3198930,35819,10,0
180146,29077,6,1
1433237,14540,23,1
3249900,37388,26,0
2909129,1447,16,0
2413553,26848,4,1
3047602,23630,6,1
1711735,19048,13,0
2738507,23579,8,0
2044305,7644,4,0
1936701,4960,3,1
2796810,22912,10,0
2049775,21417,13,1
534814,28458,2,0
2335693,16797,3,1
184061,15290,9,0
2627818,49520,1,1
898093,43967,2,1
2650490,24964,5,1
1353521,3690,7,0
2596955,33198,9,1
1883872,19723,10,0
3413231,40214,2,0
2636903,39040,28,1
1836833,45938,1,0
1091321,28204,10,1
2793795,45149,14,1
69814,45625,19,0
2681135,16325,17,0
2083712,17795,3,1
2220529,45066,4,0
2327728,34160,8,0
420014,25146,4,1
3322962,37687,5,1
976569,30855,10,1
2793663,2643,7,1
645557,24427,11,1
2036370,5859,15,0
3400506,32689,23,0
395016,13984,1,1
2204058,19857,5,1
2501592,33245,9,1
855593,2669,5,0
2149771,2326,7,1
2953444,21903,9,1
7793,9839,43,1
1635183,47626,14,0
1307803,25890,7,1
415128,34126,15,0
1011575,32635,11,1
442702,32689,6,1
2663328,46331,1,1
1294605,37646,4,1
324604,37053,1,1
2573907,21137,4,1
3375783,42832,6,1
3258440,21543,15,1
400901,38944,39,1
288148,5438,7,0
1569948,24852,3,1
638248,5550,24,1
567005,13617,4,0
2002891,29307,6,1
3152577,8555,37,0
1151799,38579,7,0
992605,43712,27,1
2032899,46226,1,1
3250849,13955,6,1
1597994,25397,9,0
120380,9810,1,1
101471,9839,7,1
1886493,19862,8,1
1319237,39877,17,1
2815843,39275,10,1
859443,9018,3,1
1479810,23341,1,0
2548747,41591,1,0
2948863,41149,4,1
442872,6680,1,0
1746794,14780,17,0
2435155,6383,4,0
1436053,33716,22,1
1840937,17341,16,1
1883533,5782,5,1
1812781,7702,8,0
64860,25783,6,0
153973,34466,9,0
2463159,28204,3,0
820986,7363,28,0
699508,9130,8,0
317913,4671,17,0
755099,35343,1,0
1852447,13176,1,1
3083135,45007,3,0
2680450,11185,5,1
1884279,41950,14,1
2432496,5646,13,1
1972681,42701,18,1
1322635,26369,9,1
2867838,47766,4,1
655083,23165,14,1
1447043,21000,2,0
2491906,10749,4,1
2898360,30489,6,0
