order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3130071,134153,prior,5,3,19,6.0
2040954,29333,prior,62,5,14,2.0
599239,81501,prior,2,4,11,11.0
1798331,1971,prior,44,0,19,0.0
1277495,131711,train,15,3,16,6.0
300311,85536,prior,27,4,17,1.0
3039265,38495,prior,32,1,17,3.0
2696816,149583,prior,3,0,09,15.0
2155173,14076,prior,3,3,15,30.0
1879132,134456,train,10,6,16,30.0
1451491,30910,prior,27,5,23,7.0
2996422,189738,prior,3,4,15,30.0
1393384,114539,prior,18,3,09,9.0
82843,161924,train,11,0,16,30.0
3241181,198085,prior,39,3,14,5.0
1136342,28775,prior,19,5,02,2.0
2428110,63653,prior,7,3,14,8.0
1147677,32267,prior,47,3,17,4.0
2115827,93725,prior,33,0,10,7.0
3065403,10746,prior,3,4,15,21.0
2699342,1021,prior,21,3,10,15.0
2902594,136034,prior,10,0,15,14.0
1684763,24704,prior,12,1,15,3.0
1340688,66593,prior,6,4,20,12.0
833879,100046,prior,20,0,08,8.0
3040776,142834,prior,6,0,12,10.0
3151636,8845,prior,13,5,12,7.0
590366,164037,prior,10,1,03,6.0
1997793,104587,test,6,0,14,30.0
574434,31196,prior,10,0,11,12.0
1481953,202457,prior,4,0,16,5.0
2272749,89574,prior,6,2,13,3.0
650489,194213,prior,7,6,17,8.0
824734,128485,prior,3,5,15,12.0
400892,47389,prior,64,2,08,0.0
1724278,15000,prior,13,3,16,2.0
1164067,35439,prior,20,3,17,11.0
3361151,110746,prior,19,2,08,2.0
167497,25697,prior,1,1,17,
2144068,165606,prior,1,1,18,
1935459,615,prior,1,6,13,
2279503,201012,prior,4,5,17,19.0
2091842,182527,prior,4,0,10,7.0
696511,99859,prior,4,0,10,9.0
1486239,53525,prior,16,1,17,5.0
1076516,86448,prior,18,2,15,5.0
152886,140436,prior,1,5,14,
374668,194533,prior,54,5,09,2.0
2043705,29976,prior,8,4,09,14.0
1509913,116074,prior,7,1,15,21.0
2611502,30714,prior,23,1,17,7.0
3265218,186196,prior,9,3,08,15.0
81194,181186,prior,25,3,14,1.0
1260702,16645,prior,35,1,08,6.0
1546540,106718,prior,8,2,21,2.0
1083884,30695,prior,5,6,11,6.0
96831,19482,train,46,6,08,16.0
1096914,13362,prior,67,3,10,7.0
1924638,74321,prior,1,0,16,
2705052,127603,prior,6,5,13,4.0
3225702,16758,prior,7,1,18,2.0
1945001,124287,prior,17,6,08,15.0
802673,170654,prior,4,4,14,30.0
2333443,141816,prior,7,0,13,13.0
782604,90491,prior,1,1,10,
1627269,118147,prior,15,5,14,17.0
1360844,46518,prior,51,2,08,3.0
1465556,33084,prior,29,6,12,4.0
1911846,183882,prior,12,1,07,11.0
167539,90863,prior,11,5,19,3.0
804828,134165,prior,60,0,15,8.0
744848,17717,test,12,2,15,13.0
429186,202509,prior,6,0,15,14.0
2486687,41917,prior,4,0,13,14.0
412171,191842,prior,2,6,12,6.0
925159,193734,prior,4,5,16,22.0
3352116,71280,prior,31,5,16,18.0
1379548,109903,prior,10,4,13,30.0
126747,122945,prior,6,1,17,30.0
413528,181691,prior,8,5,17,5.0
2011338,73579,prior,6,0,16,9.0
1082812,149279,prior,15,5,17,5.0
1945238,45821,prior,43,2,11,6.0
2166432,175603,prior,12,1,17,5.0
2962406,201930,prior,14,1,14,3.0
3341750,313,prior,98,4,03,2.0
1713552,50069,prior,8,2,12,8.0
576883,116524,prior,1,2,18,
509091,101660,prior,40,6,14,8.0
2791454,44200,prior,32,1,18,4.0
3127403,166685,prior,9,5,09,15.0
2712339,162718,prior,28,2,21,21.0
1186694,4282,prior,4,6,20,30.0
2621060,119217,prior,2,3,07,30.0
293595,117167,prior,10,3,13,1.0
402184,185570,prior,36,1,09,4.0
2242913,204517,train,5,5,08,30.0
1642331,86003,train,9,6,15,13.0
744143,169022,prior,13,4,11,5.0
2649160,66564,prior,6,1,07,14.0
153291,9882,prior,18,3,17,10.0
2528689,82352,prior,11,0,09,7.0
154972,99084,prior,14,0,09,29.0
1291524,3549,prior,5,6,10,30.0
1296826,17825,prior,8,4,16,26.0
1602236,50680,test,6,1,21,8.0
2562754,106619,prior,19,6,16,9.0
2788072,179958,prior,15,6,08,1.0
1112132,116356,prior,2,1,18,10.0
2253165,169547,prior,7,2,16,7.0
2162693,98111,prior,1,3,18,
846560,66762,prior,20,3,10,6.0
2120429,135382,prior,14,2,10,1.0
2534760,122582,prior,7,5,01,12.0
598937,111555,prior,55,5,19,8.0
332377,107442,train,10,5,19,7.0
1918880,118136,prior,32,2,09,7.0
1528330,80633,prior,1,1,20,
2903019,59162,train,25,3,00,19.0
2904113,161938,prior,7,0,13,29.0
71685,92521,prior,3,3,15,0.0
2501571,131779,prior,10,1,12,7.0
2558307,103646,prior,33,4,08,9.0
285710,171015,prior,3,4,14,5.0
859391,104750,prior,11,4,20,6.0
1454853,53476,prior,3,0,08,5.0
1460821,139589,prior,10,0,15,2.0
2814512,69271,prior,5,0,10,14.0
1676635,156142,prior,37,0,08,5.0
3356306,98608,prior,8,3,19,6.0
170866,161084,prior,2,2,14,0.0
2185175,89155,prior,6,5,16,19.0
1264276,160300,prior,1,0,12,
921900,184109,prior,6,1,17,13.0
703801,62669,prior,5,3,12,4.0
476792,113109,prior,2,2,18,4.0
1379575,17278,prior,8,0,12,30.0
769924,141212,prior,37,3,09,8.0
311371,173940,test,9,2,12,30.0
741666,26546,prior,32,5,06,9.0
273914,47012,prior,14,5,12,2.0
3302261,68582,prior,9,1,14,6.0
707137,162625,prior,7,4,13,2.0
2734953,49868,prior,4,0,06,21.0
506748,13712,prior,8,0,20,26.0
2508540,2819,prior,5,2,18,9.0
1223615,43745,prior,2,0,14,26.0
2984313,6929,prior,3,6,17,6.0
2030711,52965,prior,28,0,18,16.0
2947584,135372,prior,79,4,18,1.0
1824430,12906,prior,30,1,11,1.0
989702,52557,prior,13,2,13,8.0
916655,22721,test,4,1,11,14.0
1366413,157157,prior,4,2,19,29.0
478532,176704,prior,9,1,10,7.0
2063386,179548,prior,46,0,10,3.0
2312659,134012,prior,14,1,14,30.0
380237,92719,prior,1,6,19,
1135926,24403,prior,5,5,17,30.0
2992440,126128,prior,10,6,14,30.0
2592498,74871,prior,1,0,15,
2286063,143708,prior,5,5,14,6.0
411205,30358,prior,30,3,18,8.0
2340481,86954,prior,14,4,09,7.0
194146,54350,prior,14,3,11,5.0
1169461,39615,prior,7,1,15,5.0
804637,9209,prior,57,2,15,10.0
1949157,143767,prior,7,6,11,1.0
2653858,88062,prior,6,1,08,14.0
1246848,118206,prior,2,4,05,8.0
50837,32873,prior,13,0,12,22.0
1767144,92686,prior,6,1,08,30.0
3378751,52814,prior,42,5,06,7.0
3149047,144889,prior,10,2,09,1.0
1707777,75382,prior,16,1,17,14.0
1535610,203634,prior,17,1,14,3.0
158523,11027,prior,12,3,09,8.0
1241729,156972,prior,3,0,10,30.0
101044,4647,prior,22,0,14,6.0
1780454,158665,prior,17,2,08,15.0
533101,195937,prior,8,3,19,29.0
984929,154996,prior,3,3,20,30.0
1931013,45305,prior,5,4,14,30.0
2091184,39197,prior,2,2,19,2.0
925176,43401,prior,3,2,16,30.0
1772097,148005,prior,7,0,14,7.0
1369666,87734,prior,3,5,10,17.0
1227981,80131,prior,7,0,12,15.0
2165618,150647,prior,16,3,10,12.0
1879216,39863,prior,27,4,10,4.0
1574082,154164,prior,3,5,19,6.0
1427253,118221,prior,1,0,09,
3340485,165109,prior,22,2,10,6.0
1947921,171911,prior,2,2,19,19.0
1414376,200860,prior,15,2,12,15.0
3142587,171421,prior,18,2,19,1.0
1030785,167694,prior,29,3,16,15.0
2658982,121196,prior,6,4,15,30.0
2264737,189699,prior,4,0,10,7.0
497751,77883,train,7,6,15,20.0
3171764,29060,prior,3,0,18,14.0
2977560,40280,prior,15,6,16,3.0
552755,21231,prior,14,0,15,3.0
180037,73843,prior,28,0,13,2.0
1461189,38445,prior,44,4,19,3.0
1739921,192886,prior,24,5,13,5.0
674162,139775,prior,76,2,16,4.0
1473283,105199,prior,32,1,11,1.0
2702943,5874,prior,1,5,19,
682701,177657,train,7,0,21,2.0
2226794,186377,prior,28,6,16,1.0
2366099,20653,test,31,5,10,5.0
1990738,135193,prior,63,4,15,2.0
2757525,106758,test,4,6,10,29.0
257178,175401,test,5,0,14,6.0
1858000,55660,prior,3,0,16,30.0
2686546,60924,prior,14,2,15,7.0
622432,25797,prior,2,5,11,7.0
863063,95137,prior,4,5,11,13.0
660285,149033,prior,40,2,21,7.0
2006981,94553,prior,41,3,12,2.0
1925627,32546,prior,2,0,16,11.0
2902176,48784,prior,1,2,10,
612861,154900,prior,11,4,12,4.0
2367051,10636,prior,6,2,11,5.0
2350662,172456,prior,22,0,21,8.0
218608,144415,prior,19,0,13,5.0
2542768,80468,prior,8,5,20,4.0
1314439,58916,prior,8,3,12,3.0
940625,48843,train,14,5,17,17.0
1447829,121506,prior,15,2,10,10.0
3279293,79851,prior,31,0,10,10.0
