product_id,product_name,aisle_id,department_id
4524,Zesty Pizza Sprouted Flax Snax,117,19
20150,Habanero Roasted Chickpeas Snacks Medium Spicy,117,19
9215,Fully Cooked Bacon,106,12
248,Dried Sweetened Cranberries,117,19
44843,Traditional Chicken Noodle Soup,69,15
2527,ProActive Health Adult Hairball Care Dry Cat Food,41,8
861,Every Woman Multivitamin,47,11
21273,Grade A Pasteurized Fat Free Cottage Cheese,108,16
28073,Cherry Vanilla Ice Cream,37,1
19508,Corn Tortillas,128,3
41755,Free & Clear Dishwasher Rinse Aid,114,17
12993,"Four Cheese Cannelloni with ricotta, mozzarella, Parmesan & Romano cheese. Four Cheese Cannelloni",38,1
1101,Seasonal Tamale,30,6
16651,Cooling Body Lotion,127,11
38436,Dark Chocolate Cranberry Granola,57,14
3608,Brie & Raspberry Bake & Serve Fillo Rolls,129,1
32135,All Natural Seed Style Mustard,72,13
46554,Vinegar & Sea Salt Potato Chips,107,19
40311,Organic Mixed Baby Kale Salad,123,4
48198,Oatmeal & Shea Butter Body Lotion,127,11
45044,100% Organic Pure & Unfiltered Cold Pressed Flax Oil,47,11
15295,Giant Latte Ice Cream Bar,37,1
43487,Enchilada Sauce Mix,5,13
23291,Coconut Chia Bar,3,19
47121,Hamburger Helper Italian Four Cheese Lasagna,4,9
19499,Ring O Noodle Soup Mix with Real Chicken Broth,69,15
49644,Feta Crumbles,2,16
21977,Whole Grain Rolls,58,1
24057,Peanut Butter Chocolate Spread,88,13
49155,Bacon Cheddar Popcorn Seasoning,23,19
37804,Non Gmo Cornstarch,17,13
12169,Organic Butternut Squash Bisque,69,15
348,Super Slimming Herbal Tea,94,7
7033,2nd Foods Hawaiian Delight,92,18
48313,Pure Texas Wildflower Honey,29,13
44193,White Cannellini Kidney Beans,59,15
34068,Cookies And Cream Ice Cream Sandwiches,37,1
13552,Potato Roll Sandwich Thins,112,3
21117,Caramel Almondmilk Creamer,100,21
42842,Take Alongs Quik Clik Seal Large Rectangle Container,85,17
5804,Organic Chicken Flavor Dog Cookies,40,8
47750,Sweetened Bite Size Shredded Wheat Cereal,121,14
47588,Quadratini Cappuccino Wafer Cookies,61,19
21802,Salame,96,20
23273,Cheese & Herb Pizza,79,1
2139,Ruination Double India Pale Ale,27,5
36892,Twister Fruit Punch Juice Beverage,31,7
6545,Lemon Verbana Votive Candle,101,17
30667,Daily Protection Body Lotion SPF 15,127,11
16526,"Bread, Whole Wheat Organic Pita",128,3
30198,Gluten Free Peanut Butter Cookies,61,19
21992,Gillette Venus Embrace Pink Women's Razor Handle and 2 Razor Refills,55,11
34269,Oriental Flavor Ramen Noodle Soup,4,9
35733,Low Sodium Ham,122,12
25865,Big Wave Golden Ale,27,5
22110,Gallon Size Single Slide Storage Bags,85,17
47711,Basting & Pastry Brushes,10,17
10164,Organic Acai Berry 100% Juice,98,7
32560,"Wafer Cookies, Bite Size, Lemon",61,19
37704,"Organic Strawberry, Apple & Beet Greek Yogurt Baby Food ",92,18
8353,Organic Honey Bunch Grape Tomatoes,83,4
43974,Whips Creamy Whipped Peanut Butter,88,13
47628,Tart Cherry Juice Light,98,7
11359,Sensational Strawberry Cheese Danish,61,19
17895,Salted Caramel Pretzel Frozen Custard,37,1
11029,Sea Salt And Vinegar Potato Chips,107,19
2066,"Body Wash, Nourishing, Classic Carrot Scent, For Normal to Dry Skin",127,11
16062,Santa Barbara Mild Salsa,51,13
45438,Select 2% Reduced Fat Milk,84,16
26803,Organic Original Apple Sauce Cups,99,15
30721,No Beans Chili,59,15
37682,Concord Grape Spread,88,13
37677,Natural Hand Sanitizer,25,11
21105,57 Steak Sauce,72,13
40549,Fresh Mint Total Care Anticavity Mouthwash,20,11
46988,Whole Wheat Baguette,112,3
16820,Season All Seasoned Salt,104,13
2617,Total Care Mouthwash Icy Clean Mint,20,11
15576,Uncured Beef Hot Dog,100,21
37629,Clamato Tomato Cocktail,98,7
19921,Coconut Face Hand Cleansing Wipes,73,11
11497,"Crackers, Baked, Crispy Sea Salt",78,19
32015,Mint Clean Energy Guyasa Tea,94,7
48011,Light Chicken & Vegetables with Rosemary,69,15
1518,Greens & Apple Organic Juice Blend,31,7
28447,Premium Coffee,26,7
36476,Grilled Chicken Breasts,34,1
45834,Wild Berry Preserves,88,13
28065,Extra Crispy Restaurant Seasoned Style French Fried Potatoes,129,1
40423,Pro-Gest,126,11
10689,Long Term Relationship Shampoo For Long Hair,22,11
7312,Aloe Vera Juice Whole Leaf Dietary Supplement,47,11
23289,Robusto! Parmesan & Romano Pasta Sauce,9,9
49064,Professionals Rosemary + Mint Shampoo,22,11
10181,Classic Guacamole,67,20
12763,Peach Pure Body Immune Support Blend,94,7
9976,100% Natural Stewed Tomatoes,81,15
749,Dark Chocolate Bar 68% Cacao,45,19
41533,Twix Vanilla Yogurt,120,16
29509,80  Vodka Holiday Edition,124,5
5139,"Anti-Gas, Ultra Strength, 180 mg, Softgels",70,11
21095,Barbecue Chipotle Cheddar Tamales,13,20
23084,Almond Cream and Hibiscus Body Wash,127,11
36658,Sliced Yellow Cling Peach Slices in 100% Real Fruit Juice,99,15
42821,100% Organic Cannellini Beans,59,15
218,"6\"" Organic Carrot Cake",8,3
38389,Graduates Lil' Crunchies Garden Tomato Corn Snacks,92,18
