dataset,column,profile_type,dtype,rows_used,sampled_for_profile,non_null,missing_pct,n_unique,unique_ratio,top_1,top_1_pct,top_10_coverage_pct,mean,std,min,p01,p05,median,p95,p99,max
orders,order_id,continuous,int64,2000000,True,2000000,0.0,2000000,1.0,,,,1710733.691525,987822.867754,4.0,34152.99,170532.9,1709862.5,3250487.05,3386999.03,3421083.0
orders,user_id,continuous,int64,2000000,True,2000000,0.0,205093,0.102546,,,,102975.071007,59524.431771,1.0,2145.0,10332.0,102680.5,195895.0,204112.0,206209.0
orders,eval_set,other,str,2000000,True,2000000,0.0,3,2e-06,,,,,,,,,,,,
orders,order_number,continuous,int64,2000000,True,2000000,0.0,100,5e-05,,,,17.152922,17.731374,1.0,1.0,1.0,11.0,55.0,83.0,100.0
orders,order_dow,discrete,int64,2000000,True,2000000,0.0,7,3e-06,0,17.564,100.0,2.777283,2.047113,0.0,0.0,0.0,3.0,6.0,6.0,6.0
orders,order_hour_of_day,continuous,int64,2000000,True,2000000,0.0,24,1.2e-05,,,,13.45006,4.226893,0.0,1.0,7.0,13.0,21.0,23.0,23.0
orders,days_since_prior_order,continuous,float64,2000000,True,2000000,0.0,31,1.6e-05,,,,10.440333,9.308078,0.0,0.0,0.0,7.0,30.0,30.0,30.0
customer_cumulative_reorder,order_id,continuous,int64,2000000,True,2000000,0.0,1358961,0.679481,,,,1711767.019852,987690.440142,4.0,34516.0,171477.0,1713241.0,3251141.05,3387135.03,3421081.0
customer_cumulative_reorder,user_id,continuous,int64,2000000,True,2000000,0.0,190044,0.095022,,,,103054.421585,59459.337192,1.0,2213.99,10518.0,102815.0,195789.0,204115.0,206209.0
customer_cumulative_reorder,order_number,continuous,int64,2000000,True,2000000,0.0,99,4.9e-05,,,,17.138419,17.537503,1.0,1.0,1.0,11.0,54.0,81.0,99.0
customer_cumulative_reorder,product_id,continuous,int64,2000000,True,2000000,0.0,40562,0.020281,,,,25565.155017,14098.951819,1.0,459.0,3376.0,25221.0,47570.0,49235.0,49688.0
customer_cumulative_reorder,add_to_cart_order,continuous,int64,2000000,True,2000000,0.0,106,5.3e-05,,,,8.35286,7.12503,1.0,1.0,1.0,6.0,22.0,33.0,141.0
